cluster,texto
2,sem conteudo detectavel
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
9,cecilia sent an attachment
5,link compartilhado
5,link compartilhado
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
7,toque em continuar para aceitar ou recusar o pedido
5,link compartilhado
10,bia eu terminei de subir os produtos porem acho que esta com um delay amanha vou ver se terminou de atualizar na plataforma ta tudo certinho <num> categorias que criei com todo produtos descricao videos etc
1,mas acho que esta processando para subir tudo
6,eu estou vendo mesmo que esta demorando mas super obrigada bom final de semana brenda
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
2,sem conteudo detectavel
6,adorei
9,mybasic sent an attachment
9,mybasic sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,due sent an attachment
11,imagem enviada
1,esse e o fechado
10,o meu e <user> oficial
1,ja to seguindo
2,sem conteudo detectavel
0,acabei de comprar um conjunto se nao servir posso trocar pelo seu cep deve ser perto da minha casa o meu <num> <num>
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
1,claro pode trocar super
5,<url>
11,ola vanilda segue os detalhes aqui
9,bia sent an attachment
5,link compartilhado
7,curtiu uma mensagem
8,boa tarde na pagina da regata podrinha cinza eu nao consigo ver as medidas dos tamanhos acima do g que sao justamente o que visto poderia me enviar essas medidas dos tamanhos gg e xgg por favor
6,ola boa tarde tudo bem
5,link compartilhado
10,claro envio sim mas ate para nos entendermos o que esta ocorrendo com essa visualizacao voce esta acessando pelo celular que ai ja direcionamos pra equipe tecnica corrigir
11,imagem enviada
10,aqui a tabela certinha mas ja estamos com o pessoal tecnico corrigindo esse erro
1,estou vendo pelo celular sim
13,ta joia
6,muito obrigada pela atencao
6,perfeito ja passei pro pessoal realizar a correcao obrigada pelo feedback
13,imagina
1,a calca ficou sobrando muito atras
2,sem conteudo detectavel
6,ola boa noite
12,gostaria de saber o tamanho da cintura dessa calca no tamanho m
11,imagem enviada
10,sem problemas mari apenas encaminha pra gente um e mail solicitando que iremos dar sequencia com a troca e mail contato curadobia <user> com
6,ola dany boa tarde tudo bem
8,seguem as medidas p cos <num> cm e veste quadril ate <num> cm m cos <num> cm e veste um quadril ate <num> cm g cos <num> cm e veste um quadril ate <num> cm
10,estaremos atualizando no site para conter essa tabela que realmente estava faltando
6,agradeco o feedback
11,maravilha
6,mto obrigada msm
13,imagina
13,oieee
6,bom dia
8,caso nao fique com como funciona a troca
10,ola dany bom dia caso tenha algum problema com o tamanho voce pode optar por trocar ou devolver o produto basta nos informar pelo e mail contato curadobia <user> com que iremos encaminhar sua solicitacao para a marca responsavel a marca ira proceder com os proximos passos como envio do codigo de logistica reversa e tudo mais
10,nos seguimos acompanhando todo o processo ate sua finalizacao
11,ahhh maravilha
6,mto obrigada
0,ainda hj vou efetuar a compra da calca
2,sem conteudo detectavel
2,sem conteudo detectavel
1,imagina estamos por aqui qualquer coisa que precisar
9,bia sent an attachment
0,oi mari boa tarde ah que otimo combinado entao fico muito feliz que o conjunto tenha ficado bacana conta com a gente para o que precisar grande abraco aproveite o final de semana torcendo para baixar um pouco a temperatura
1,e eu como estou na praia torcendo para nao baixar
1,ahhh bom entendi errado entao achei que estava na serra espero que abra o tempo e fiquei um lindo final de semana
5,link compartilhado
2,sem conteudo detectavel
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
5,link compartilhado
9,bia sent an attachment
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
3,nan
2,sem conteudo detectavel
9,studio sent an attachment
9,you sent an attachment
5,link compartilhado
3,nan
5,link compartilhado
3,nan
3,nan
0,bia gosto muito das suas bolsas poderia passar umas dicas nao encontrei no seu site
0,oie em breve trarei uma curadobia de bolsas por aqui tmb
2,sem conteudo detectavel
5,link compartilhado
2,sem conteudo detectavel
6,ola bia tudo bem
6,ola td e vc
10,tudo bem bia gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos lojas etc
10,ola vera na verdade a curadoria de pecas que seleciono ja faz parte dessa ajuda
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
0,e fato perguntei pois esta a procurando uma peca e nao encontrava
6,mas super entendi e aproveito pra agradecer e elogiar seu trabalho
13,beijos
6,ahhh entendi muito obrigada
3,nan
2,sem conteudo detectavel
5,link compartilhado
3,nan
2,sem conteudo detectavel
3,nan
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
9,bia sent an attachment
9,you sent an attachment
5,link compartilhado
10,luana shared a product
0,ola onde encontro os sapatos este e as gladiadoras especialmente
0,ola luana bom dia tudo bem hoje ainda nao temos sapatos dentro do curadobia estamos olhando para adicionar essa categoria em breve
11,na torcida
2,sem conteudo detectavel
6,ola boa tarde
10,preciso de uma ajudinha com o meu pedido
13,ola
10,ola dany podemos ajudar sim claro
6,ola bom dia
0,eu comprei a calca pantalona branca no dia <num> <num>
1,e ainda nao chegou
0,vc consegue rastrear o meu pedido
1,ola dany bom dia
10,perfeito estamos entrando em contato com a marca e ja lhe posicionamos tivemos alguns problemas com pedidos em funcao da greve dos correios e isso pode estar atrelado
1,aiiiin que pena
0,eu queria usar nas fotos que irei fazer amanha
13,ola
1,meu pedido chegou hj
1,mas ficou grande
8,como e o processo da troca
5,link compartilhado
9,bia sent an attachment
5,link compartilhado
0,oi dany bom dia desculpa ontem nao ter te dado um retorno a marca havia informado que estaria chegando ontem mesmo
10,dany vou pedir para voce me informar qual o seu melhor e mail para que a marca encaminhe as orientacoes
0,tem cupom de desconto primeira compra
9,bia sent an attachment
2,sem conteudo detectavel
6,ola kari bom dia tudo bem
0,nao temos cupom de desconto no momento
10,boa tarde gostaria de saber se voces enviam para fora do brasil obrigada
10,ola boa tarde infelizmente nao enviamos para fora do pais mas aceitamos cartoes internacionais com entrega em todo o brasil
5,link compartilhado
5,link compartilhado
0,e esses sapatos incriveis teremos a chance de te los rs
6,bom dia ontem tive o prazer de conhecer vc ao vivo eu estava no mil plantas vc e lindissima
6,ola cris bom dia tudo bem
10,estamos estudando trazer essa categoria para o curadobia porem nada de imediato ainda mas muito legal saber do interesse assim que tivermos iremos te manter avisada
9,bia sent an attachment
2,sem conteudo detectavel
2,sem conteudo detectavel
9,juliana sent an attachment
12,bom dia comprei esta blusa mas a parte que passa encima do ombro esta solta e assim mesmo podemos falar para eu entender melhor obrigada meu cel <num>
0,obrigada pelo retorno namoro o modelo gladiador me lembro dele mas quando fui procurar ja nao tinha mais
7,reagiu com a sua mensagem
6,obrigada no aguardo que seja disponibilizado o envio
6,ola juliana boa tarde tudo bem
1,podemos falar sim vou te dar um oi no whats para entendermos melhor
6,muito obrigada
1,seu ddd qual seria
4,nao reconheceu no whats esse numero
13,oi
6,pode me chamar novamente por favor
4,<num>
4,<num>
2,sem conteudo detectavel
1,ahhhh que pena que nao nos falamos
3,nan
5,link compartilhado
6,ola bom dia
6,td bem
8,sobre a troca da calca que comprei quero trocar por um tamanho menor recebi um e mail de vcs no dia <num> <num> <num> respondi mas dps disso nao tive mais retorno
1,conseguem me ajudar por aqui
0,ola dany boa tarde tudo bem sim e com voce peco desculpas por essa demora estou verificando sobre porque ainda nao foi dada sequencia na troca o processo interno nosso ja foi encaminhado com a troca para o tamanho p
0,ola por favor vcs tem desconto para a primeira compra obrigada
13,oie
6,mto obrigada pelo retorno
7,curtiu uma mensagem
2,sem conteudo detectavel
6,ola amanda bom dia tudo bem
0,nao nao oferecemos cupom de desconto nas compras
6,oie dany bom dia a valeria e a lunna entraram em contato com voce correto
6,obrigada
7,curtiu uma mensagem
6,oiee bom dia
0,sim a carol entrou em contato comigo uma fofa super atenciosa
6,mto obrigada msm
13,de nada
1,imagina qualquer coisa estamos por aqui so chamar abracos
7,curtiu uma mensagem
2,sem conteudo detectavel
5,link compartilhado
5,link compartilhado
10,ola bia te vi no post da teti gio amei o seu perfil eu tenho uma marca de joias autorais com design minimalista e ouro sustentavel adoraria te apresentar <user> tambem gostaria de conversar sobre divulgacao se houver interesse claro muito obrigada um abraco evelyn
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
10,ola evelyn bom dia tudo bem aqui somos do curadobia voce teria interesse em apresentar a sua marca pensando em participar do curadobia ou seria referente a parceria de divulgacao com a bia
13,ambos
6,bom dia
0,como posso fazer essa apresentacao
6,obrigada pelo retorno
10,evelyn obrigada pelo interesse para parcerias com o curadobia peco que envie apresentacoes para o nosso email contato curadobia <user> com e seguimos com as tratativas por la que fica mais facil e para interesses de parcerias diretamente com a bia e preciso entrar em contato diretamente com ela pelo email biapaesdebarros <user> com
6,obrigada enviarei
9,bia sent an attachment
2,sem conteudo detectavel
9,bia sent an attachment
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,patifisch sent an attachment
8,bia esse seu curadobia esta um arraso muito tentador parabens pelo projeto uma duvida qual a sua altura estou interessadissima nessa calca mas sou baixa <num> cm e geralmente tenho que fazer a barras das calcas o que nao e muito facil com essa obrigada
6,oie muito obrigada feliz que esta curtindo curadobia
8,tenho <num> <num> essa calca esta mais curta para mim mesmo te aconselho a comprar um tamanho pequeno
13,qual seu manequim
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
8,gosto da calca assim mais curta visto entre <num> <num> quadril <num>
5,link compartilhado
6,ola tudo bem meu nome e gisela acabei de fazer um pedido
11,imagem enviada
0,consegue me informar de onde e essa sandalia
1,ola gisela essa sandalia e da minha collab com a paula ferber
10,iremos relanca la em outubro aqui no curadobia
6,ah que bom e lindissima parabens
0,deixa eu tirar outra duvida vc faz consultoria de imagem estilo tb se sim como funciona
10,infelizmente nao atuo mais nessa area de consultoria pessoal
10,mas tmb lancarei um programa online de estilo pessoal que podera ser baixado por aqui tmb
2,sem conteudo detectavel
2,sem conteudo detectavel
9,stella sent an attachment
9,stella sent an attachment
2,sem conteudo detectavel
12,boa tarde comprei a blusa pah mas nao consigo deixa la parecida como da foto acho que estou usando de forma errada tem alguma tutorial de como vesti la rs
8,ja tentei tres vezes sera que pode ser o tamanho
9,bia sent an attachment
9,bia sent an attachment
9,julia sent an attachment
8,gostaria de saber qual a altura e medidas da bia pra entender melhor o tamanho de referencia
1,ola van td bem farei um video para vc
13,e simples
6,obrigada
6,ola julia bom dia tudo bem
8,altura seria <num> <num> cintura <num> quadril <num>
12,porem e interessante frisar que a modelagem da calca e uma cintura no lugar nem cintura baixa e nem cintura alta
6,muito obrigada legal que sou do mesmo tamanho que ela
0,oi as compras sao direto no site
10,ola julia isso mesmo qualquer duvida nos avise por aqui ou pelo nosso whatsapp
2,sem conteudo detectavel
5,link compartilhado
6,ola bom dia
12,eu amei a blusa branca tcharam
0,mas gostaria de experimentar antes de comprar e possivel meu cel <num> <num> <num>
6,obrigada
11,ops e a blusa pah
10,bom dia beatriz tudo bem obrigada por ter entrado em contato conosco vamos entrar em contato com voce pelo nosso whatsapp oficial
10,bom dia beatriz tudo bem obrigada por ter entrado em contato conosco vamos te encaminhar uma mensagem pelo nosso whatsapp oficial edited
11,maravilha
12,bom dia estou interessada na blusa pah mas estou em duvida quanto ao tamanho minhas medidas busto <num> cm e cintura <num> cm
12,bom dia mariella td bem que tamanho voce costuma usar de parte de cima camisas em especial
13,m
12,nao gosto de nada apertado mas essa blusa tem um shane mais ajustado dai fiquei na duvida
8,ela e reta e certa acredito que o tamanho m funcione bem para voce o tecido da base e mais maleavel que da parte de cima
10,qualquer duvida pode tambem nos conectar pelo whatsapp
6,ok obrigada
5,<url>
9,bia sent an attachment
9,bia sent an attachment
5,link compartilhado
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
9,bia sent an attachment
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
10,jussara shared a product
8,qual tamanho
0,eu quero comprar esses acessorios como faco
11,aguardo ansiosa pelos seus pisantes na curadobia
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
0,amoooo suas rasteiras nao sao da sua lj mas poderia indicar aonde tem aquela custo beneficio
4,ola boa tarde o <num> e equivalente ao p <num> m e <num> g
8,que tamanho costuma usar
10,so entrar no site ou aqui no nosso perfil que tem a selecao completa
5,<url>
10,aqui o link com todos os acessorios
1,qualquer duvida estamos a disposicao
1,a partir de outubro tera lancamento por aqui
10,elas estarao no curadobia a partir de outubro
7,curtiu uma mensagem
9,bia sent an attachment
5,link compartilhado
5,link compartilhado
5,link compartilhado
6,ok muito obrigada
7,reagiu com a sua mensagem
3,nan
9,bia sent an attachment
10,oii o site curadobia esta fora do ar fui visitar atraves dos link da bio e nao funcionou bjs
6,ola bom dia tudo bem obrigada pela mensagem conferimos aqui e aparentou estar tudo certo aproveito para mandar o link por aqui
5,<url>
1,qualquer duvida estamos a disposicao
0,vou olhar aqui meu anti virus pq ele bloqueia o curadobia veja
11,imagem enviada
10,obrigada por nos mandar e informar sobre essa situacao ja passamos para o nosso setor tecnico analisar essa situacao caso deseje podemos tirar duvidas e disponibilizar mais informacoes por aqui so nos solicitar estamos a disposicao para qualquer coisa
0,ola tudo bem tem cupom para <num> a compra
0,bom dia gil infelizmente nao trabalhamos com cupom para <num> a compra ainda mas estamos a disposicao para sanar qualquer duvida
11,imagem enviada
12,fui olhar para comprar o tamanho <num> dessa calca porem a largura da cintura e do quadril eh a mesma <num>
1,eh isso mesmo
11,imagem enviada
6,ola karyna tudo bem obrigada por ter entrado em contato conosco
12,karyna bom dia tudo bem desculpe a demora para o esclarecimento da duvida como somos um marketolace trabalhamos com marcas unicas e diferentes como cada uma tem a sua producao optamos por entrar em contato com a marca parceira da calca ontem para confirmar sua duvida e te responder da melhor maneira possivel a marca nos confirmou que as medidas do tamanho <num> estao corretas com a cintura e o quadril com a mesma medida mesmo isso ocorre pois como e uma peca produzida com elastico na cintura ele acaba ficando na mesma medida do quadril se adequando ao formato do corpo que a usa a unica correcao que ja aproveitamos para fazer que a marca tambem nos informou foi que o tamanho <num> fa calca tambem deveria estar com a mesma medida na cintura e no quadril <num> cm pelo mesmo motivo ja vamos corrigir isso no site qualquer outra questao estamos a disposicao karyna
2,sem conteudo detectavel
6,muito obrigada pelos esclarecimentos
1,estamos aqui para o que precisar
2,sem conteudo detectavel
0,vcs tem desconto para primeira compra
9,denize sent an attachment
0,bom dia gostaria de adquirir essa calca mas nao esta mais disponivel podem me ajudar obrigada
10,bom dia karyna infelizmente nao trabalhamos com cupom para <num> a compra ainda mas estamos aqui para te auxiliar no processo inteiro
10,ola bom dia denize tudo bem estamos repondo o estoque da nossa calca quentinha e por isso ela esta temporariamente indisponivel no nosso site assim que ela retornar te avisamos estamos a disposicao para qualquer duvida obrigada por ter entrado em contato conosco
6,obrigada
10,oiii tudo bem me chamo caroline sou formada em marketing e trabalho como social media tem um tempinho estou a procura de uma nova oportunidade no mercado de trabalho gostaria de saber se tem um espacinho no time de voces vou deixar o meu numero e mail e portfolio caso queria marcar uma call para falarmos mais estou por aqui cel <num> <num> <num> e mail cspereiramkt <user> com portfolio <url> obrigada desde ja
10,ola caroline tudo bem obrigada pelo seu interesse em trabalhar conosco no momento nao estamos trabalhando com o contrato de novas pessoas no nosso time mas ja salvamos seus dados para futuras oportunidades caso tenha mais alguma duvida estamos a disposicao equipe curadobia
7,curtiu uma mensagem
6,oieee obrigada de verdade
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
3,nan
5,<url>
2,sem conteudo detectavel
1,tutu meu filho e tutu arthur kkkk
9,olivve sent an attachment
3,nan
5,<url>
2,sem conteudo detectavel
1,e a calca e de onde
0,oi julia tudo bem essa e da egrey mais antiga estamos a poucos dias de lancar novos modelos de jeans de uma nova marca que entrara no curadobia assim que lancarmos te mandamos aqui
2,sem conteudo detectavel
0,ola estou tentando finalizar uma compra mas aparece o seguinte erro
11,imagem enviada
10,ola amanda obrigada pelo contato e pedimos desculpas pela falha ja estamos verificando o que houve para que consiga finalizar sua compra
6,obrigada
9,bia sent an attachment
2,sem conteudo detectavel
9,bia sent an attachment
7,curtiu uma mensagem
2,sem conteudo detectavel
2,sem conteudo detectavel
11,ola por favor algum retorno
9,bia sent an attachment
6,bom dia consegue me mandar o video
10,ola amanda bom dia peco desculpas pela demora mas o nosso pessoa tecnico ainda nao conseguiu simular um erro igual ao que ocorreu com voce por isso a demora em lhe retornar
7,pensamos que poderia ser a senha criada mas quando ocorre algum ponto nesse aspecto surge uma mensagem abaixo voce se importaria em tentar novamente apenas para checarmos se continua ocorrendo o mesmo erro
6,ola van bom dia te enviaremos ainda hoje
1,a bia ira gravar o video e te enviar
10,inclusive muito obrigada pela solicitacao pois em funcao dela estamos criando esse mes um destaque aqui no insta trazendo e salvando videos mostrando essa e mais outras pecas que podem gerar duvidas
6,obrigada
6,que legal vai ajudar muito
10,amanda nosso pessoal tecnico pediu se possivel se cadastrar atraves desse link
5,<url>
13,imagina
2,sem conteudo detectavel
2,sem conteudo detectavel
1,deu certo mas a peca que eu queria acabou
1,ahhh qual era a peca podemos checar se havera reposicao
6,mas ficamos felizes que conseguiu concluir seu cadastro de qualquer forma
5,link compartilhado
13,obaaaa
0,a jaqueta branca uma pena eu nao conseguir comprar por problemas tecnicos uma experiencia de consumidor mto ruim
3,nan
10,oi amanda nossas sinceras desculpas por todo esse ocorrido somos um marketplace com operacoes a todo vapor e infelizmente nao estamos livres de erros tecnicos e tecnologicos acontecerem checamos com a marca e por enquanto estamos com o tamanho <num> e <num> prontos para a venda seguimos a disposicao para te auxiliar em todas as duvidas e questoes necessarias aqui com a gente como seu cadastro esta certinho acredito que nao teremos mais essa situacao ocorrendo obrigada por estar conosco equipe curadobia
10,oi amanda nossas sinceras desculpas por todo esse ocorrido somos um marketplace com operacoes a todo vapor e infelizmente nao estamos livres de erros tecnicos e tecnologicos acontecerem checamos com a marca e por enquanto estamos com o tamanho <num> e <num> prontos para a venda seguimos a disposicao para te auxiliar em todas as duvidas e questoes necessarias aqui com a gente como seu cadastro esta certinho acredito que nao teremos mais essa situacao ocorrendo obrigada por estar conosco equipe curadobia edited
9,you sent an attachment
0,you shared a product
2,sem conteudo detectavel
9,marta sent an attachment
0,como comprar
2,sem conteudo detectavel
5,link compartilhado
11,ola marta claro com certeza
2,sem conteudo detectavel
9,paula sent an attachment
6,parabens excelente ideia vim pelo insta da gloria kalil torcendo por mais um sucesso
0,oi sandra tudo bem passando aqui para te avisar que o jeans preto que voce se interessou no nosso reels um tempinho atras esta disponivel
11,imagem enviada
5,<url>
10,segue o link dele qualquer duvida ou questao estamos a disposicao obrigada por nos acompanhar equipe curadobia
7,curtiu uma mensagem
5,segue o link da jaqueta <url>
10,qualquer duvida ou questao estamos a disposicao obrigada por nos acompanhar equipe curadobia
0,oi ineia tudo bem segue o valor do casaco que voce se interessou
9,you sent an attachment
4,r <num> <num>
5,<url>
10,segue o link dele qualquer duvida ou questao estamos a disposicao obrigada por nos acompanhar equipe curadobia
3,nan
7,curtiu uma mensagem
13,ibaaaa
0,experimentei essa jaqueta maravilhosa
9,marilene sent an attachment
0,tenho interesse nessa jaqueta
6,ola marilene boa noite tudo bem
6,adoramos ela
0,para adquirir essa peca basta clicar no link da jaqueta e finalizar a compra pelo site <url>
8,temos ela ainda no tamanho <num> e <num>
7,curtiu uma mensagem
3,nan
5,<url>
3,nan
5,<url>
3,nan
6,adoro
6,voce e linda e de uma delicadeza admiravel
11,lindissima
3,nan
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
9,bia sent an attachment
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
9,bia sent an attachment
3,nan
3,nan
3,nan
0,onde posso comprar
10,bom dia sou a gianina marques mineira mae e autora de joias artesanais gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva aguardo o retorno de vcs q tem tanto conhecimento na area desde ja obrigada <user>
5,<url>
3,nan
0,aqui ou nas lojas da paula ferber
9,andrea sent an attachment
1,eu amei a que tem a ponta duvida tem que ter tornozelo fino obrigada
8,com certeza nao exatamente por isso que pensamos nesse material que se molda nos pes
9,bia sent an attachment
6,legal obrigada
8,nao tenho nada da paula ferber a numeracao e normal a forma
11,super normal a forma
7,curtiu uma mensagem
3,nan
10,ola gostariamos de orcar com voces o aluguel de algumas pecas objetos de voces para um dia de evento que vamos fazer e possivel obrigada desde ja
