texto,intent
"ola meninas seguem meus contatos: +1(917)868-9790 daniela.masson@hotmail.com muito bom falar com vcs ontem, obrigada ! falamos na sequência por whatsapp 🌷",onde_comprar
eu estou vendo mesmo que está demorando. mas super obrigada! bom final de semana brenda,agradecimento
adorei!!!! 😘😘🌷,outros
esse é o fechado,outros
já tô seguindo 👊🏻,outros
acabei de comprar um conjunto. se não servir posso trocar? pelo seu cep deve ser perto da minha casa. o meu 04531-020,troca_devolucao
"boa tarde! na página da regata podrinha cinza eu não consigo ver as medidas dos tamanhos acima do g, que são justamente o que visto. poderia me enviar essas medidas dos tamanhos gg e xgg, por favor?",outros
estou vendo pelo celular sim.,outros
tá joia.,outros
muito obrigada pela atenção!,agradecimento
a calça ficou sobrando muito atrás.,duvida_tamanho
"olá, boa noite",saudacao
gostaria de saber o tamanho da cintura dessa calça no tamanho m,duvida_tamanho
maravilha!,outros
mto obrigada msm,agradecimento
oieee,saudacao
bom dia,saudacao
"caso não fique com, como funciona a troca?",troca_devolucao
ahhh maravilha,outros
mto obrigada,agradecimento
ainda hj vou efetuar a compra da calça,outros
"e eu, como estou na praia, torcendo para não baixar!!!!!🤣🤣🤣",outros
😍,outros
😍,outros
👏,outros
bia gosto muito das suas bolsas . poderia passar umas dicas ?? não encontrei no seu site …,outros
olá bia tudo bem?,saudacao
"tudo bem bia gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos, lojas, etc?",outros
é fato! perguntei pois está a procurando uma peça e não encontrava,outros
mas super entendi e aproveito pra agradecer e elogiar seu trabalho,outros
beijos,despedida
😍,outros
👏,outros
👏,outros
"olá! onde encontro os sapatos? este e as gladiadoras, especialmente.",saudacao
na torcida ❤️,outros
"olá, boa tarde",saudacao
preciso de uma ajudinha com o meu pedido,outros
olá,saudacao
"olá , bom dia",saudacao
eu comprei a calça pantalona branca no dia 13/08,disponibilidade
e ainda não chegou,outros
vc consegue rastrear o meu pedido?,prazo_entrega
aiiiin que pena,outros
eu queria usar nas fotos que irei fazer amanhã,outros
olá!!,saudacao
meu pedido chegou hj!!,outros
"mas, ficou grande😫",troca_devolucao
como é o processo da troca?,troca_devolucao
tem cupom de desconto primeira compra?,preco_pagamento
boa tarde. gostaria de saber se vocês enviam para fora do brasil. obrigada.,saudacao
e esses sapatos incríveis? teremos a chance de tê-los? rs,outros
bom dia! ontem tive o prazer de conhecer vc ao vivo! eu estava no mil plantas! vc e lindíssima! ❤️,saudacao
bom dia. comprei esta blusa mas a parte que passa encima do ombro está solta. é assim mesmo? podemos falar para eu entender melhor? obrigada. meu cel 983389576,saudacao
"obrigada pelo retorno! namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento
reagiu com 😢 à sua mensagem,outros
obrigada. no aguardo que seja disponibilizado o envio.,agradecimento
muito obrigada,agradecimento
oi,saudacao
pode me chamar novamente por favor?,outros
11,outros
993811193,outros
olá bom dia,saudacao
td bem?,outros
"sobre a troca da calça que comprei (quero trocar por um tamanho menor). recebi um e-mail de vcs no dia 29/08/24 , respondi mas, dps disso não tive mais retorno",troca_devolucao
conseguem me ajudar por aqui?,agradecimento
olá! por favor vcs tem desconto para a primeira compra? obrigada!,preco_pagamento
oie,saudacao
mto obrigada pelo retorno,agradecimento
obrigada!,agradecimento
oiee! bom dia,saudacao
"sim! a carol entrou em contato comigo! uma fofa , super atenciosa",outros
"olá bia! te vi no post da teti gio amei o seu perfil eu tenho uma marca de joias autorais, com design minimalista e ouro sustentável adoraria te apresentar @eunoyah_jewelry também gostaria de conversar sobre divulgacao, se houver interesse, claro :) muito obrigada um abraço evelyn",saudacao
ambos :),outros
bom dia!,saudacao
como posso fazer essa apresentacao?,outros
obrigada pelo retorno,agradecimento
obrigada ;) enviarei!,agradecimento
bia! esse seu curadobia está um arraso! muito tentador. parabéns pelo projeto. uma dúvida: qual a sua altura? estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 obrigada,agradecimento
gosto da calça assim mais curta! visto entre 38-40 (quadril 95),duvida_tamanho
"ola, tudo bem? meu nome é gisela, acabei de fazer um pedido.",saudacao
consegue me informar de onde é essa sandália?,outros
ah que bom!! é lindíssima!! parabéns.,outros
"deixa eu tirar outra dúvida, vc faz consultoria de imagem/estilo tb? se sim, como funciona?",outros
"boa tarde! comprei a blusa pah , mas não consigo deixá-la parecida como da foto… acho que estou usando de forma errada… tem alguma tutorial de como vesti-la ? rs",outros
já tentei três vezes. será que pode ser o tamanho?,duvida_tamanho
gostaria de saber qual a altura e medidas da bia pra entender melhor o tamanho de referência.,duvida_tamanho
obrigada,agradecimento
"muito obrigada, legal que sou do mesmo tamanho que ela!",duvida_tamanho
"oi, as compras são direto no site?",saudacao
olá! bom dia,saudacao
eu amei a blusa branca tcharam 🥰,disponibilidade
mas gostaria de experimentar antes de comprar. é possível? meu cel (11) 99904-7575,outros
obrigada,agradecimento
ops é a blusa pah,outros
maravilha 🙌🏼,outros
"bom dia. estou interessada na blusa pah, mas estou em dúvida quanto ao tamanho. minhas medidas: busto 92 cm e cintura 75 cm.",duvida_tamanho
m,duvida_tamanho
"não gosto de nada apertado, mas essa blusa tem um shane mais ajustado. daí fiquei na dúvida.",disponibilidade
"ok, obrigada.",agradecimento
qual tamanho?,duvida_tamanho
"eu quero comprar esses acessórios, como faço?",outros
aguardo ansiosa pelos seus pisantes na curadobia,outros
"amoooo suas rasteiras, não são da sua lj, mas poderia indicar aonde têm aquela custo benefício?",disponibilidade
"ok, muito obrigada 😊",agradecimento
reagiu com 👍 à sua mensagem,outros
😍,outros
oii o site curadobia está fora do ar?? fui visitar através dos link da bio e não funcionou ... bjs,saudacao
vou olhar aqui meu anti virus.. pq ele bloqueia o curadobia... veja:,outros
olá! tudo bem? tem cupom para 1a compra?,cupom_primeira
"fui olhar para comprar o tamanho 1 dessa calça, porém a largura da cintura e do quadril eh a mesma - 98",duvida_tamanho
eh isso mesmo?,outros
muito obrigada pelos esclarecimentos,agradecimento
vcs tem desconto para primeira compra?,preco_pagamento
"bom dia! gostaria de adquirir essa calça, mas não está mais disponível. podem me ajudar? obrigada",disponibilidade
obrigada!,agradecimento
"oiii! tudo bem? me chamo caroline sou formada em marketing e trabalho como social media tem um tempinho, estou a procura de uma nova oportunidade no mercado de trabalho. gostaria de saber se tem um espacinho no time de vocês, vou deixar o meu número, e-mail e portfólio. caso queria marcar uma call para falarmos mais estou por aqui. cel: (11) 94443-8896 e-mail: cspereiramkt@gmail.com portfólio: https://cspereira.my.canva.site/ obrigada desde já 💖",disponibilidade
"oieee, obrigada de verdade 💖",saudacao
https://www.instagram.com/minimadeia/profilecard/,onde_comprar
tutu. meu filho é tutu. arthur kkkk,outros
😍,outros
https://www.instagram.com/_nata.oficial/profilecard/,onde_comprar
e a calça é de onde?,outros
ola! estou tentando finalizar uma compra mas aparece o seguinte erro,outros
obrigada,agradecimento
ola! por favor algum retorno?,saudacao
bom dia! consegue me mandar o vídeo?,saudacao
que legal! vai ajudar muito!,agradecimento
deu certo mas a peça que eu queria acabou…,outros
obaaaa,outros
"a jaqueta branca. uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade
😍,outros
como comprar ?,onde_comprar
parabéns!!! excelente ideia!!! vim pelo insta da glória kalil 😍 - torcendo por mais um sucesso!,onde_comprar
😍,outros
ibaaaa,outros
experimentei essa jaqueta. maravilhosa,agradecimento
tenho interesse nessa jaqueta,outros
👏,outros
https://www.instagram.com/tatho.brasil/profilecard/,onde_comprar
👏,outros
https://www.instagram.com/agola__/profilecard/,onde_comprar
👏,outros
adoro…!,outros
você é linda e de uma delicadeza admirável,outros
lindíssima,outros
😍,outros
😍,outros
😍,outros
onde posso comprar?,outros
"bom dia! sou a gianina marques, mineira, mãe e autora de joias artesanais. gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva. aguardo o retorno de vcs q tem tanto conhecimento na área. desde já obrigada! @gianinamarques",disponibilidade
eu amei a que tem a ponta. duvida. tem que ter tornozelo fino? obrigada,disponibilidade
legal. obrigada,agradecimento
não tenho nada da paula ferber. a numeração é normal a forma?,duvida_tamanho
já vi e amei!! esperando a virada do cartao pra perder os juízo!,preco_pagamento
👏,outros
vocês tem loja física?,disponibilidade
comprei a jaqueta 😻,outros
oii comprei a bico fino. o dedo fica um pouquinho de lado pra fora né? mas super confortável,duvida_tamanho
lindaaaa,outros
acha melhor pegar maior?,outros
11 99635.2663,outros
vou amanhã. obrigada,agradecimento
"muito obrigada, elas entraram em contato comigo. realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento
reagiu com 👍🏿 à sua mensagem,outros
obrigada,agradecimento
já comprei! e acabou de chegar!!,outros
https://www.instagram.com/wendyelborin/profilecard/,onde_comprar
ai..me ajuda com o vídeo …. ainda não usei a blusa!!,outros
não consigo deixá-la deste jeito,outros
https://www.instagram.com/usemyk/profilecard/,onde_comprar
essa sandália calça certo ?calço 36 .será que preciso comprar 37 ?,duvida_tamanho
obrigada !!,agradecimento
ola!,saudacao
fiz uma compra de um casaco com vcs e não vestiu bem. gostaria de trocar por uma calça fresquinha tamanho m.,troca_devolucao
alguém poderia entrar em contato comigo por e-mail ou whatsapp? o site de vcs parece que está com problemas. não funciona direito não.,onde_comprar
meu tel 21 99245-3454,outros
email: adrianaleitecarvalho@gmail.com,outros
muito obrigada!,agradecimento
este é meu whatsapp…,onde_comprar
qual foi a mensagem?,outros
é acolchoada ?,outros
reagiu com 👍 à sua mensagem,outros
muito estilo,outros
lindas !!,outros
"bom dia tudo bem? então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . eu estou em uma fase de camisa, calça jeans bem moderna . e roupas mais discretas . mas é esses vestido como usar ?",disponibilidade
caraca muito!,outros
https://www.instagram.com/___lourie___/profilecard/,onde_comprar
"boa tarde, me interessei pelos macacões, com zíper mostrados pela bia.",saudacao
macacões com mangas,outros
gostei da corrente dourada também.,outros
"os brincos argola frontal, não sei o nome da peça kkk",outros
oi bia. sou erika dos @brincosdiferentes. gostaria de saber como você trabalha em relação a promoção de produtos. meus brincos são autorais e os fabrico a 39 anos. a produção é 100% nacional. fabricamos desde a liga do metal até o banho de ouro 18k. nossos brincos são todos bordados a mão com um finíssimo arame de cobre e depois banhado a ouro. espero seu contato. obrigada.,saudacao
"por favor , me interessei por este macacão . quais tamanhos e como comprar ?",duvida_tamanho
obrigada pelo retorno,agradecimento
teria as medidas do 42,duvida_tamanho
"pois sou , em algumas marcas , 44",duvida_tamanho
"e em outras , 42",duvida_tamanho
estou tentando contato para devolução de mercadoria e ninguém me atende! nem por whatsapp e nem e-mail. comprei um vestido que quero devolver. como devo proceder? cristina hees 11 970499507,troca_devolucao
e quadril ?,duvida_tamanho
vou checar as minhas medidas e volto com vcs,duvida_tamanho
macacão precisa ser mais soltinho,outros
"oi bia, tudo bem? me chamo alice, sou sócia da monti, uma marca de moda que preza por estilo atemporal e peças de qualidade. estamos buscando consultoras de imagem parceiras para recomendar nossas peças aos seus clientes, e pensei que poderíamos criar algo bem legal juntas! o que acha de agendarmos um papo para te contar mais sobre a nossa história e a ideia de parceria? fico no aguardo!",pedido_sugestao
ok,outros
falamos por lá,outros
"ainda não , super correria",outros
"olá, quanto custa a pantalona?",preco_pagamento
"olá, eu encontro as medidas no site?",duvida_tamanho
e a blusa?,outros
😍,outros
"oiee tudo bem? amei a bota, tem curadoria dela? bjos",disponibilidade
"queria ver sua sapateira pq tudo é lindíssimo, mas seus sapatos são escolhidos a dedo, tudo a ver com vc sempre… esse é da laiá né?",outros
uhuu,outros
👏,outros
"linda calça, qual é a marca?",outros
de onde é a sandália linda?,outros
reagiu com 👍 à sua mensagem,outros
https://www.instagram.com/durgashop/profilecard/,onde_comprar
https://www.instagram.com/voceamara/profilecard/,onde_comprar
"claro, mando tudo la",outros
obrigada pelo retorno!,agradecimento
"olá, tudo bem?! meu nome é leonardo, trabalho na importadora @lulitex_textil @lulitexfashion vi o instagram da marca e vocês tem o perfil lulitex, muito sofisticação e bom gosto. trabalhamos com pronta entrega e importação de tecidos exclusivos de acordo com a demanda do cliente. nosso showroom tem um acervo enorme. será um prazer recebe-los em uma visita. poderia me passar o contato do estilo ou compras? desde já agradeço a atenção. att, leonardo josé e-mail: leonardo@lulitex.com.br pabx: +55 11 2105 1541 whatsapp: 11 9.9600-2547 www.lulitex.com.br",prazo_entrega
😍,outros
olá!! como vai funcionar? onde vai ser? obrigada!!,saudacao
https://www.instagram.com/giom.ei/profilecard/,onde_comprar
de onde é esse macacão maravilhoso!!! amo ❤️,agradecimento
"bom dia gostei muito de uma calça mais gostaria de ter informações dos tamanhos , se te tabela de medidas , como faço para saber , poderiam me ajudar ? no aguardo grata adriana baggio",duvida_tamanho
"olá vcs tem uma tabela de medidas para essa calça , amei e gostaria de escolher o tamanho certo visto 40 e tenho 1.05 de quadril , então não tenho certeza do p ou m poderiam me ajudar ? no aguardo grata adriana baggio",duvida_tamanho
"certo, obrigada !!! o prazo de entrega são 19 dias mesmo ?",prazo_entrega
"oi, pessoal, tudo bem? mariele da icon aqui. adoraria apresentar a agência e os talentos que representamos para vocês. acredito que temos uma super sinergia e que seria lindo colaborarmos futuramente! qual o melhor contato para falarmos disso, por favor? muito obrigada!",saudacao
👏,outros
tô chegando!,outros
🖤🖤🖤,outros
"precisei sair correndo por um problema com minha filha, que ja esta bem! mas nem consegui me despedir! obrigada queridas pelo convite!!!",agradecimento
❤️❤️,outros
😁😁,outros
"aaaah, perdi! quando vai ter offline de novo?",outros
😍,outros
🥰,outros
obrigada pelo convite! adorei a minha sandalia nova! ♥️,agradecimento
👏,outros
boa tarde! a jaqueta off da nauanim voltou?,saudacao
😍,outros
"sim, obrigada",agradecimento
😮,outros
https://www.instagram.com/luiseramirezbrand/profilecard/,onde_comprar
https://www.instagram.com/numerodez.numerodez/profilecard/,onde_comprar
😍,outros
o site está passando por problemas?,outros
"oi pessoal! tudo bem? acredito que essa calça tenha esgotado, certo? vai ter reposição dela? aguardo retorno! obrigada, milene",disponibilidade
perfeito! fico no aguardo! abraço,agradecimento
ola boa tarde tudo bem? tenho uma confecção trabalho com tecido plano e malha faço todo desenvolvimento da peça começando da peça piloto e entrego a produção passada e embalada caso tenha interesse meu número é 11948549084 obrigada,saudacao
😍,outros
que roupa bonita,outros
"olá! primeiramente quero dizer que a curadobia está fantástica! vi que vários produtos estão indisponíveis no site, como a blusa pah e phyna por exemplo tem alguma previsão de retorno ao estoque?",disponibilidade
reagiu com 💜 à sua mensagem,outros
"obrigada pelo retorno! vou acompanhar, então. beijo beijo 💋 💋",agradecimento
"olá! sua curadoria, projeto editorial e gráfico, são incríveis. parabéns! mas sua plataforma de e-commerce não funciona bem, estou desde ontem tentando fazer compras, mas páginas não carregam, carrinhos esvaziam. muito difícil!",saudacao
"olá, tudo bem? seriam essas peças:",saudacao
"as duas camisas, o body, a calça e o colar. eu visto p.",duvida_tamanho
adorei a dica!,outros
"olá, fiz uma compra com vocês. tudo certo?",saudacao
oba! ❤️,outros
"oi, pessoal. tudo bem? estou com dúvida sobre numeração de uma peça de vocês. aguardo retorno, obrigada! milene",duvida_tamanho
tudo bem e vocês?,outros
joia,outros
estou de olho nessa peça aqui 👇🏻,outros
porém na dúvida do melhor tamanho,duvida_tamanho
eu costumo usar p ou pp se a confecção é grande,duvida_tamanho
36 ou 38,duvida_tamanho
não rsrs,outros
vou olhar,outros
"na verdade eu já assisti ao vídeo do casaco no site curadobia várias vezes para tentar chegar a essa conclusão, mas não consegui",outros
"posso trocar, caso eu experimente e prefira uma maior?",troca_devolucao
outra dúvida é sobre o tom certinho dessa jaqueta. no site achei que estava num tom diferente dos stories,outros
perfeito,agradecimento
eu amo todos os seus looks! combina 100% com o meu estilo! queria ter todas as peças para mim! pena que moro do outro lado do mundo.,pedido_sugestao
https://revistamarieclaire.globo.com/moda/noticia/2024/08/bia-paes-de-barros-usa-expertise-em-consultoria-de-moda-e-lanca-curadoria-de-pecas-em-site-de-garimpo.ghtml?fbclid=pazxh0bgnhzw0cmteaaabtooq7rft69-14p2vewwiwwndqxvdl2mr4hkmrlgelvmjri66dz7p8__4_aem_r0ojw7surovb9xnwndzvwq,outros
bom dia,saudacao
entrar em contato com a luciana nossa gerente comercial no email gerencia@elisaatheniense.com.br,outros
por nada!,outros
"olá, tudo bem e com vcs ? vi que vcs enviaram um e-mail para nós, vou responder vcs por lá, ok? um beijo e muito obrigada pelo contato <3",saudacao
oi,saudacao
a regata chiquetosa vai voltar pro estoque?,disponibilidade
reagiu com 🖤 à sua mensagem,outros
e a regata arrumadona?,outros
volta pro estoque?,disponibilidade
boa tarde!! fiz um pedido de uma blusa brilhei no dia 13/01. não recebi nenhum e-mail de confirmação. será que está tudo certo? meu nome é cristiane rocha loures brenner.,saudacao
ok! obrigada. vi que foi lançado no meu cartão de crédito.,preco_pagamento
"olá curadobia, tudo bem? agradecemos o interesse pela marca. para garantir que você receba a atenção e cuidado adequados, pedimos a gentileza de encaminhar mais informações como contatos, rede social e portfólio para mkt.conteudo@escuderoonline.com.br. nossa equipe de marketing é especializada nesse assunto. dessa forma, tenho certeza de que eles avaliarão e, se houver interesse, entrarão em contato prontamente. fique à vontade para entrar em contato caso tenha alguma dúvida. estamos aqui para ajudar.",saudacao
ei ana,outros
tudo bem?,outros
em março eu vou produzir reposição e cores novas de tudo,disponibilidade
agora estou organizando as coisas,outros
aí entro em contato vocês,outros
pode ser?,outros
oi!,saudacao
a regata arrumadona m,duvida_tamanho
olá!! obrigada. qual a previsão de entrega?,prazo_entrega
"como uma crítica construtiva, vcs deveriam mandar um e-mail para confirmar o pedido. compro bastante on-line e sempre vem o e-mail do status do pedido!! o cliente fica mais seguro da compra.",duvida_tamanho
sim,outros
vamos marcar ☺️,outros
eu não recebi a confirmação dessa compra,outros
"oi ana a marcia fonseca esta em contato com vc, ne? vamos conversar sim, a fernanda tem mto interesse",disponibilidade
sim,outros
pode,outros
ok!! entendi. obrigada pelo retorno. um abraço,agradecimento
"oiii boa tarde , me chamo talita e sou figurinista na emissora cnbc @cnbc licenciada pela @otimesbrasil , uma emissora nova que transmite jornalismo de negócios e é lider mundial no seu segmento. temos no nosso elenco grandes nomes do jornalismo incluido carol barcellos , rita wu, erica reis , christiane pelajo , zeca camargo, natalia ariade estou apenas dando um exemplo do time de peso que faz parte da emissora. as meninas são a cara da marca, elas postam , marcam o @, tem o manequim otimo e sao mega fotogênicas. podemos alinhar a produção , me ajudem rs vai ser uma parceria incrivel ! um beijo e aguardo retorno",disponibilidade
"olá, tudo bem? entre em contato com nosso comercial, 085987859507",saudacao
oie,saudacao
chama no mkt@gammba.com,outros
"bia, tudo bem? tenho uma festa bem legal e o traje é black and white. pensei na blusa pah, mas queria saber se o tecido fica vistoso e se você recomenda alguma calça mais festa para combinar. beijos julie",duvida_tamanho
boa noite ! haverá reposição da saia única preta no tamanho 1 ?,duvida_tamanho
ok obrigada,agradecimento
"oi time da curadobia tudo bem? sou joana, sigo o perfil e amo! tem uma calça que vi numa propaganda, que me apaixonei, mas não encontrei no site. queria saber de onde ela é, por favor. se puderem, vocês me contam? super obrigada! bj",disponibilidade
https://www.instagram.com/ac.gromann?igsh=mwe4dtziy2izetaxnw==,onde_comprar
oi boa tarde,saudacao
adquiri uma máxi pantalona valéria mansur,outros
p,duvida_tamanho
ficou enorme,duvida_tamanho
como proceder p troca?,troca_devolucao
"obrigada pelo retorno, as peças são incríveis! é que me apaixonei por essa calça, então foi ela que me prendeu o olhar! 😉☺️",agradecimento
até agora nada!,despedida
"eu sugiro q vcs verifiquem melhor as parcerias de fornecedores, pois não comprarei mais nesta curadoria! infelizmente, gosto mto do trabalho da bia… mas assim inviabiliza!",outros
"olá meninas, tudo bem? comprei a saia preta da d aura em outubro, precisei trocar (foram rapidíssimos), mas só hoje eu soube que não levaram a sacola com a peça a ser trocada (ficou este tempo todo na minha portaria). como faço?",troca_devolucao
linda gladiadora!,outros
sim!,outros
"na verdade foi o porteiro, rs!",outros
"tranquilo, obrigada!",agradecimento
reagiu com 👍 à sua mensagem,outros
já respondi! sim no wzap,outros
vocês irao vender oysho????,outros
é o pedido 502!,outros
olá tudo bem ana e vc? que bacana… vou passar o whatsapp da maiá pode falar com ela por gentileza! 11-983268095,onde_comprar
vou seguir.,outros
que honra 😍😍😍,outros
já comprei 3 peças da curadobia,outros
amando ♥️♥️♥️,outros
😍,outros
linda essa blusa,outros
não tem mais numeração 37,duvida_tamanho
boa noite.,saudacao
"estou com duvidas sobre o tamanho da saia unica, visto 42 , mas as medidas no quadro de tamanhos parecem grandes, mas existe a informação de que o tamanho 1 corresponde ao 36….",duvida_tamanho
bom dia … obrigada 🙏🏻,saudacao
poxa… que pena… quando tiverem me avise por favor,outros
ok,outros
obrigada,agradecimento
cadê? quero,outros
"bia, td bom? não estou conseguindo finalizar a compra da ""regata podrinha"". coloquei os dados do cartão e no campo cvv eu ponho os números mas o sistema ignora que eu coloquei. tentei várias vezes, acho que está com problema…",preco_pagamento
que lindoo😍,outros
👏,outros
"boa tarde, pessoal! tudo bem? estava namorando um macacão verde no site da marca d-aura, porém não localizei mais 😕. saiu de coleção? não terá reposição? aguardo. obrigada milene",disponibilidade
tudo bem também. que pena 😕 eu queria exatamente o verde! 😩,outros
vai ter reposição dessa calça?,disponibilidade
ola! muitíssimo obrigada 💋,saudacao
que calça maravilhosa,agradecimento
qual o preço?,preco_pagamento
"link da calça, por gentileza",outros
"olá, sou o gerente de vendas da pg game platform. quero falar com você sobre parcerias. nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de curaçao em outubro. você pode se juntar a nós e lhe daremos altas comissões. entre em contato comigo pelo whatsapp: +13434802605",onde_comprar
gostaria a camisa branca tamanho m. é possível?,duvida_tamanho
"ola pessoal ! tudo bem?! sou a lalá cunha (@laisfcunha) e vim contar um pouco sobre o @coracora_studio estamos em sp e fazemos fotografia, vídeos em formato reels, direção de arte e styling para marcas, de acordo com a sua necessidade. fazemos trabalhos exclusivos para as marcas e, em breve (final de março) também faremos o nosso próximo shooting collab, uma diária criada para incluir várias marcas que têm produtos a serem fotografados, necessitam de um material de qualidade, mas que não querem ter um alto valor de investimento nisso. o proximo collab será em uma locação linda e as modelos foram escolhidas à dedo, e acho que combina muito com a marca de voces. abaixo mando mais infos. vamos conversar sobre essas possibilidades? fico aqui a disposição abraços, lalá 11 972686892",preco_pagamento
"olá!! bom dia!! sou muito fã da bia, mas nunca comprei no curadoria. uma dúvida: como faço para escolher um tamanho com mais segurança? tem uma tabela de medidas para servir de referência? obrigada",duvida_tamanho
🔥,outros
que lindo tudo!,outros
"olá! bom dia! roupas lindas aqui! mas não encontrei muitas opções de tamanhos maiores. é isso mesmo? tenho uma cliente que se enquadraria perfeita nesse estilo mais contemporâneo, mas é um tamanho g, gg. 44/46. poderiam me sugerir algumas opções?",duvida_tamanho
olá! muito obrigada!! vou ver em breve!!,saudacao
preço?,preco_pagamento
oii,saudacao
obrigada! eu aviso sim!! gostei bastante! vou levar para a cliente.,agradecimento
olá! tudo bem? teria um contato do responsável da marca ou comercial para falarmos? obrigada carol 🤍,saudacao
"olá, td bem? fiz uma compra com vc e recebi apenas o tricot. vc pode me ajudar ? muito obrigada desde já !",saudacao
não estou conseguindo entrar no site para fazer compra,outros
oiee,saudacao
gosto muito dos looks mas percebo que ha muito jogo c volumes,pedido_sugestao
nao sei se ficaria legal p quem esta um.pouco acima do peso,duvida_tamanho
sua roupa jeans é de onde?,outros
"perfeito, ana. obrigada pelo retorno. 😊",agradecimento
ameiiiiiiii,outros
"olá!! tudo bem? estou apaixonada por essa jaqueta bacanuda da foto. o preço de 546, pula pra setecentos e tanto na hora de comprar. é isso mesmo? entra um valor de comissão na hora da compra?",preco_pagamento
obrigada,agradecimento
uma coisa de lindo!,outros
oi! esse conjunto marrom é vendido também ?,saudacao
obrigada,agradecimento
bom dia. gostei da calça. vai ter no site? obrigada,saudacao
"bia, você acaba comigo com tantas coisas lindas do curadobia!!! queria muito que tivesse frete internacional ( canadá) eu fico aqui babando!!!! 😍",prazo_entrega
"oi ana, obrigada pela resposta! bom, eu vou continuar na torcida pra esse frete internacional se materializar um dia desses pq a gente quer comprar essas coisas lindas e usar logo, né? … infelizmente com o preço do dólar não tenho recebido as amigas aqui tão frequentemente mas é uma boa ideia também - obrigada!!!!",prazo_entrega
nossa . perfeito,agradecimento
bem e vc ana!! muito obrigada,agradecimento
