texto,intent,cluster
boa tarde! tudo ótimo! segunda à tarde em qualquer horário.,saudacao,14
fechado 3pm brasil !,outros,2
daniela.masson@hotmail.com,outros,0
obrigada ! até lá,agradecimento,5
stellathomazbastos@gmail.com,outros,0
funciona,outros,10
😍,outros,1
onde e a loja?,onde_comprar,12
"toque em ""continuar"" para aceitar ou recusar o pedido.",outros,8
11-991428141,outros,0
"ola meninas seguem meus contatos: +1(917)868-9790 daniela.masson@hotmail.com muito bom falar com vcs ontem, obrigada ! falamos na sequência por whatsapp 🌷",onde_comprar,0
eu estou vendo mesmo que está demorando. mas super obrigada! bom final de semana brenda,agradecimento,9
adorei!!!! 😘😘🌷,outros,11
esse é o fechado,outros,2
já tô seguindo 👊🏻,outros,9
acabei de comprar um conjunto. se não servir posso trocar? pelo seu cep deve ser perto da minha casa. o meu 04531-020,troca_devolucao,12
"boa tarde! na página da regata podrinha cinza eu não consigo ver as medidas dos tamanhos acima do g, que são justamente o que visto. poderia me enviar essas medidas dos tamanhos gg e xgg, por favor?",outros,3
estou vendo pelo celular sim.,outros,9
tá joia.,outros,2
muito obrigada pela atenção!,agradecimento,5
a calça ficou sobrando muito atrás.,duvida_tamanho,6
"olá, boa noite",saudacao,14
gostaria de saber o tamanho da cintura dessa calça no tamanho m,duvida_tamanho,3
maravilha!,outros,2
mto obrigada msm,agradecimento,5
oieee,saudacao,2
bom dia,saudacao,14
"caso não fique com, como funciona a troca?",troca_devolucao,10
ahhh maravilha,outros,2
mto obrigada,agradecimento,5
ainda hj vou efetuar a compra da calça,outros,6
"e eu, como estou na praia, torcendo para não baixar!!!!!🤣🤣🤣",outros,9
😍,outros,1
😍,outros,1
👏,outros,4
bia gosto muito das suas bolsas . poderia passar umas dicas ?? não encontrei no seu site …,outros,12
olá bia tudo bem?,saudacao,10
"tudo bem bia gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos, lojas, etc?",outros,12
é fato! perguntei pois está a procurando uma peça e não encontrava,outros,6
mas super entendi e aproveito pra agradecer e elogiar seu trabalho,outros,5
beijos,despedida,2
😍,outros,1
👏,outros,4
👏,outros,4
"olá! onde encontro os sapatos? este e as gladiadoras, especialmente.",saudacao,6
na torcida ❤️,outros,2
"olá, boa tarde",saudacao,14
preciso de uma ajudinha com o meu pedido,outros,12
olá,saudacao,0
"olá , bom dia",saudacao,14
eu comprei a calça pantalona branca no dia 13/08,disponibilidade,6
e ainda não chegou,outros,9
vc consegue rastrear o meu pedido?,prazo_entrega,12
aiiiin que pena,outros,2
eu queria usar nas fotos que irei fazer amanhã,outros,9
olá!!,saudacao,0
meu pedido chegou hj!!,outros,0
"mas, ficou grande😫",troca_devolucao,3
como é o processo da troca?,troca_devolucao,10
tem cupom de desconto primeira compra?,preco_pagamento,12
boa tarde. gostaria de saber se vocês enviam para fora do brasil. obrigada.,saudacao,2
e esses sapatos incríveis? teremos a chance de tê-los? rs,outros,6
bom dia! ontem tive o prazer de conhecer vc ao vivo! eu estava no mil plantas! vc e lindíssima! ❤️,saudacao,14
bom dia. comprei esta blusa mas a parte que passa encima do ombro está solta. é assim mesmo? podemos falar para eu entender melhor? obrigada. meu cel 983389576,saudacao,3
"obrigada pelo retorno! namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento,11
reagiu com 😢 à sua mensagem,outros,8
obrigada. no aguardo que seja disponibilizado o envio.,agradecimento,0
muito obrigada,agradecimento,5
oi,saudacao,2
pode me chamar novamente por favor?,outros,0
11,outros,2
993811193,outros,0
olá bom dia,saudacao,14
td bem?,outros,10
"sobre a troca da calça que comprei (quero trocar por um tamanho menor). recebi um e-mail de vcs no dia 29/08/24 , respondi mas, dps disso não tive mais retorno",troca_devolucao,12
conseguem me ajudar por aqui?,agradecimento,12
olá! por favor vcs tem desconto para a primeira compra? obrigada!,preco_pagamento,12
oie,saudacao,2
mto obrigada pelo retorno,agradecimento,5
obrigada!,agradecimento,5
oiee! bom dia,saudacao,14
"sim! a carol entrou em contato comigo! uma fofa , super atenciosa",outros,9
"olá bia! te vi no post da teti gio amei o seu perfil eu tenho uma marca de joias autorais, com design minimalista e ouro sustentável adoraria te apresentar @eunoyah_jewelry também gostaria de conversar sobre divulgacao, se houver interesse, claro :) muito obrigada um abraço evelyn",saudacao,0
ambos :),outros,10
bom dia!,saudacao,14
como posso fazer essa apresentacao?,outros,12
obrigada pelo retorno,agradecimento,5
obrigada ;) enviarei!,agradecimento,5
bia! esse seu curadobia está um arraso! muito tentador. parabéns pelo projeto. uma dúvida: qual a sua altura? estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 obrigada,agradecimento,3
gosto da calça assim mais curta! visto entre 38-40 (quadril 95),duvida_tamanho,3
"ola, tudo bem? meu nome é gisela, acabei de fazer um pedido.",saudacao,0
consegue me informar de onde é essa sandália?,outros,6
ah que bom!! é lindíssima!! parabéns.,outros,11
"deixa eu tirar outra dúvida, vc faz consultoria de imagem/estilo tb? se sim, como funciona?",outros,0
"boa tarde! comprei a blusa pah , mas não consigo deixá-la parecida como da foto… acho que estou usando de forma errada… tem alguma tutorial de como vesti-la ? rs",outros,3
já tentei três vezes. será que pode ser o tamanho?,duvida_tamanho,3
gostaria de saber qual a altura e medidas da bia pra entender melhor o tamanho de referência.,duvida_tamanho,3
obrigada,agradecimento,13
"muito obrigada, legal que sou do mesmo tamanho que ela!",duvida_tamanho,5
"oi, as compras são direto no site?",saudacao,12
olá! bom dia,saudacao,14
eu amei a blusa branca tcharam 🥰,disponibilidade,11
mas gostaria de experimentar antes de comprar. é possível? meu cel (11) 99904-7575,outros,12
obrigada,agradecimento,13
ops é a blusa pah,outros,2
maravilha 🙌🏼,outros,2
"bom dia. estou interessada na blusa pah, mas estou em dúvida quanto ao tamanho. minhas medidas: busto 92 cm e cintura 75 cm.",duvida_tamanho,3
m,duvida_tamanho,2
"não gosto de nada apertado, mas essa blusa tem um shane mais ajustado. daí fiquei na dúvida.",disponibilidade,3
"ok, obrigada.",agradecimento,5
qual tamanho?,duvida_tamanho,3
"eu quero comprar esses acessórios, como faço?",outros,6
aguardo ansiosa pelos seus pisantes na curadobia,outros,2
"amoooo suas rasteiras, não são da sua lj, mas poderia indicar aonde têm aquela custo benefício?",disponibilidade,12
"ok, muito obrigada 😊",agradecimento,5
reagiu com 👍 à sua mensagem,outros,8
😍,outros,1
oii o site curadobia está fora do ar?? fui visitar através dos link da bio e não funcionou ... bjs,saudacao,12
vou olhar aqui meu anti virus.. pq ele bloqueia o curadobia... veja:,outros,9
olá! tudo bem? tem cupom para 1a compra?,cupom_primeira,12
"fui olhar para comprar o tamanho 1 dessa calça, porém a largura da cintura e do quadril eh a mesma - 98",duvida_tamanho,3
eh isso mesmo?,outros,10
muito obrigada pelos esclarecimentos,agradecimento,5
vcs tem desconto para primeira compra?,preco_pagamento,12
"bom dia! gostaria de adquirir essa calça, mas não está mais disponível. podem me ajudar? obrigada",disponibilidade,6
obrigada!,agradecimento,5
"oiii! tudo bem? me chamo caroline sou formada em marketing e trabalho como social media tem um tempinho, estou a procura de uma nova oportunidade no mercado de trabalho. gostaria de saber se tem um espacinho no time de vocês, vou deixar o meu número, e-mail e portfólio. caso queria marcar uma call para falarmos mais estou por aqui. cel: (11) 94443-8896 e-mail: cspereiramkt@gmail.com portfólio: https://cspereira.my.canva.site/ obrigada desde já 💖",disponibilidade,0
"oieee, obrigada de verdade 💖",saudacao,5
https://www.instagram.com/minimadeia/profilecard/,onde_comprar,7
tutu. meu filho é tutu. arthur kkkk,outros,2
😍,outros,1
https://www.instagram.com/_nata.oficial/profilecard/,onde_comprar,7
e a calça é de onde?,outros,6
ola! estou tentando finalizar uma compra mas aparece o seguinte erro,outros,12
obrigada,agradecimento,13
ola! por favor algum retorno?,saudacao,5
bom dia! consegue me mandar o vídeo?,saudacao,9
que legal! vai ajudar muito!,agradecimento,5
deu certo mas a peça que eu queria acabou…,outros,9
obaaaa,outros,2
"a jaqueta branca. uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade,12
😍,outros,1
como comprar ?,onde_comprar,12
parabéns!!! excelente ideia!!! vim pelo insta da glória kalil 😍 - torcendo por mais um sucesso!,onde_comprar,11
😍,outros,1
ibaaaa,outros,2
experimentei essa jaqueta. maravilhosa,agradecimento,6
tenho interesse nessa jaqueta,outros,6
👏,outros,4
https://www.instagram.com/tatho.brasil/profilecard/,onde_comprar,7
👏,outros,4
https://www.instagram.com/agola__/profilecard/,onde_comprar,7
👏,outros,4
adoro…!,outros,11
você é linda e de uma delicadeza admirável,outros,11
lindíssima,outros,11
😍,outros,1
😍,outros,1
😍,outros,1
onde posso comprar?,outros,12
"bom dia! sou a gianina marques, mineira, mãe e autora de joias artesanais. gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva. aguardo o retorno de vcs q tem tanto conhecimento na área. desde já obrigada! @gianinamarques",disponibilidade,0
eu amei a que tem a ponta. duvida. tem que ter tornozelo fino? obrigada,disponibilidade,6
legal. obrigada,agradecimento,5
não tenho nada da paula ferber. a numeração é normal a forma?,duvida_tamanho,13
já vi e amei!! esperando a virada do cartao pra perder os juízo!,preco_pagamento,11
👏,outros,4
vocês tem loja física?,disponibilidade,12
comprei a jaqueta 😻,outros,6
oii comprei a bico fino. o dedo fica um pouquinho de lado pra fora né? mas super confortável,duvida_tamanho,6
lindaaaa,outros,2
acha melhor pegar maior?,outros,3
11 99635.2663,outros,0
vou amanhã. obrigada,agradecimento,9
"muito obrigada, elas entraram em contato comigo. realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento,12
reagiu com 👍🏿 à sua mensagem,outros,8
obrigada,agradecimento,13
já comprei! e acabou de chegar!!,outros,12
https://www.instagram.com/wendyelborin/profilecard/,onde_comprar,7
ai..me ajuda com o vídeo …. ainda não usei a blusa!!,outros,3
não consigo deixá-la deste jeito,outros,9
https://www.instagram.com/usemyk/profilecard/,onde_comprar,7
essa sandália calça certo ?calço 36 .será que preciso comprar 37 ?,duvida_tamanho,3
obrigada !!,agradecimento,5
ola!,saudacao,0
fiz uma compra de um casaco com vcs e não vestiu bem. gostaria de trocar por uma calça fresquinha tamanho m.,troca_devolucao,6
alguém poderia entrar em contato comigo por e-mail ou whatsapp? o site de vcs parece que está com problemas. não funciona direito não.,onde_comprar,12
meu tel 21 99245-3454,outros,0
email: adrianaleitecarvalho@gmail.com,outros,0
muito obrigada!,agradecimento,5
este é meu whatsapp…,onde_comprar,0
qual foi a mensagem?,outros,8
é acolchoada ?,outros,10
reagiu com 👍 à sua mensagem,outros,8
muito estilo,outros,11
lindas !!,outros,11
"bom dia tudo bem? então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . eu estou em uma fase de camisa, calça jeans bem moderna . e roupas mais discretas . mas é esses vestido como usar ?",disponibilidade,3
caraca muito!,outros,2
https://www.instagram.com/___lourie___/profilecard/,onde_comprar,7
"boa tarde, me interessei pelos macacões, com zíper mostrados pela bia.",saudacao,11
macacões com mangas,outros,11
gostei da corrente dourada também.,outros,11
"os brincos argola frontal, não sei o nome da peça kkk",outros,6
oi bia. sou erika dos @brincosdiferentes. gostaria de saber como você trabalha em relação a promoção de produtos. meus brincos são autorais e os fabrico a 39 anos. a produção é 100% nacional. fabricamos desde a liga do metal até o banho de ouro 18k. nossos brincos são todos bordados a mão com um finíssimo arame de cobre e depois banhado a ouro. espero seu contato. obrigada.,saudacao,0
"por favor , me interessei por este macacão . quais tamanhos e como comprar ?",duvida_tamanho,11
obrigada pelo retorno,agradecimento,5
teria as medidas do 42,duvida_tamanho,13
"pois sou , em algumas marcas , 44",duvida_tamanho,13
"e em outras , 42",duvida_tamanho,13
estou tentando contato para devolução de mercadoria e ninguém me atende! nem por whatsapp e nem e-mail. comprei um vestido que quero devolver. como devo proceder? cristina hees 11 970499507,troca_devolucao,12
e quadril ?,duvida_tamanho,2
vou checar as minhas medidas e volto com vcs,duvida_tamanho,9
macacão precisa ser mais soltinho,outros,11
"oi bia, tudo bem? me chamo alice, sou sócia da monti, uma marca de moda que preza por estilo atemporal e peças de qualidade. estamos buscando consultoras de imagem parceiras para recomendar nossas peças aos seus clientes, e pensei que poderíamos criar algo bem legal juntas! o que acha de agendarmos um papo para te contar mais sobre a nossa história e a ideia de parceria? fico no aguardo!",pedido_sugestao,0
ok,outros,4
falamos por lá,outros,9
"ainda não , super correria",outros,9
"olá, quanto custa a pantalona?",preco_pagamento,6
"olá, eu encontro as medidas no site?",duvida_tamanho,12
e a blusa?,outros,3
😍,outros,1
"oiee tudo bem? amei a bota, tem curadoria dela? bjos",disponibilidade,6
"queria ver sua sapateira pq tudo é lindíssimo, mas seus sapatos são escolhidos a dedo, tudo a ver com vc sempre… esse é da laiá né?",outros,6
uhuu,outros,2
👏,outros,4
"linda calça, qual é a marca?",outros,6
de onde é a sandália linda?,outros,6
reagiu com 👍 à sua mensagem,outros,8
https://www.instagram.com/durgashop/profilecard/,onde_comprar,7
https://www.instagram.com/voceamara/profilecard/,onde_comprar,7
"claro, mando tudo la",outros,9
obrigada pelo retorno!,agradecimento,5
"olá, tudo bem?! meu nome é leonardo, trabalho na importadora @lulitex_textil @lulitexfashion vi o instagram da marca e vocês tem o perfil lulitex, muito sofisticação e bom gosto. trabalhamos com pronta entrega e importação de tecidos exclusivos de acordo com a demanda do cliente. nosso showroom tem um acervo enorme. será um prazer recebe-los em uma visita. poderia me passar o contato do estilo ou compras? desde já agradeço a atenção. att, leonardo josé e-mail: leonardo@lulitex.com.br pabx: +55 11 2105 1541 whatsapp: 11 9.9600-2547 www.lulitex.com.br",prazo_entrega,0
😍,outros,1
olá!! como vai funcionar? onde vai ser? obrigada!!,saudacao,0
https://www.instagram.com/giom.ei/profilecard/,onde_comprar,7
de onde é esse macacão maravilhoso!!! amo ❤️,agradecimento,11
"bom dia gostei muito de uma calça mais gostaria de ter informações dos tamanhos , se te tabela de medidas , como faço para saber , poderiam me ajudar ? no aguardo grata adriana baggio",duvida_tamanho,3
"olá vcs tem uma tabela de medidas para essa calça , amei e gostaria de escolher o tamanho certo visto 40 e tenho 1.05 de quadril , então não tenho certeza do p ou m poderiam me ajudar ? no aguardo grata adriana baggio",duvida_tamanho,3
"certo, obrigada !!! o prazo de entrega são 19 dias mesmo ?",prazo_entrega,0
"oi, pessoal, tudo bem? mariele da icon aqui. adoraria apresentar a agência e os talentos que representamos para vocês. acredito que temos uma super sinergia e que seria lindo colaborarmos futuramente! qual o melhor contato para falarmos disso, por favor? muito obrigada!",saudacao,0
👏,outros,4
tô chegando!,outros,9
🖤🖤🖤,outros,2
"precisei sair correndo por um problema com minha filha, que ja esta bem! mas nem consegui me despedir! obrigada queridas pelo convite!!!",agradecimento,9
❤️❤️,outros,2
😁😁,outros,2
"aaaah, perdi! quando vai ter offline de novo?",outros,9
😍,outros,1
🥰,outros,4
obrigada pelo convite! adorei a minha sandalia nova! ♥️,agradecimento,6
👏,outros,4
boa tarde! a jaqueta off da nauanim voltou?,saudacao,6
😍,outros,1
"sim, obrigada",agradecimento,5
😮,outros,2
https://www.instagram.com/luiseramirezbrand/profilecard/,onde_comprar,7
https://www.instagram.com/numerodez.numerodez/profilecard/,onde_comprar,7
😍,outros,1
o site está passando por problemas?,outros,12
"oi pessoal! tudo bem? acredito que essa calça tenha esgotado, certo? vai ter reposição dela? aguardo retorno! obrigada, milene",disponibilidade,6
perfeito! fico no aguardo! abraço,agradecimento,9
ola boa tarde tudo bem? tenho uma confecção trabalho com tecido plano e malha faço todo desenvolvimento da peça começando da peça piloto e entrego a produção passada e embalada caso tenha interesse meu número é 11948549084 obrigada,saudacao,0
😍,outros,1
que roupa bonita,outros,3
"olá! primeiramente quero dizer que a curadobia está fantástica! vi que vários produtos estão indisponíveis no site, como a blusa pah e phyna por exemplo tem alguma previsão de retorno ao estoque?",disponibilidade,12
reagiu com 💜 à sua mensagem,outros,8
"obrigada pelo retorno! vou acompanhar, então. beijo beijo 💋 💋",agradecimento,9
"olá! sua curadoria, projeto editorial e gráfico, são incríveis. parabéns! mas sua plataforma de e-commerce não funciona bem, estou desde ontem tentando fazer compras, mas páginas não carregam, carrinhos esvaziam. muito difícil!",saudacao,12
"olá, tudo bem? seriam essas peças:",saudacao,10
"as duas camisas, o body, a calça e o colar. eu visto p.",duvida_tamanho,3
adorei a dica!,outros,11
"olá, fiz uma compra com vocês. tudo certo?",saudacao,12
oba! ❤️,outros,1
"oi, pessoal. tudo bem? estou com dúvida sobre numeração de uma peça de vocês. aguardo retorno, obrigada! milene",duvida_tamanho,13
tudo bem e vocês?,outros,10
joia,outros,2
estou de olho nessa peça aqui 👇🏻,outros,9
porém na dúvida do melhor tamanho,duvida_tamanho,3
eu costumo usar p ou pp se a confecção é grande,duvida_tamanho,3
36 ou 38,duvida_tamanho,13
não rsrs,outros,2
vou olhar,outros,9
"na verdade eu já assisti ao vídeo do casaco no site curadobia várias vezes para tentar chegar a essa conclusão, mas não consegui",outros,6
"posso trocar, caso eu experimente e prefira uma maior?",troca_devolucao,3
outra dúvida é sobre o tom certinho dessa jaqueta. no site achei que estava num tom diferente dos stories,outros,6
perfeito,agradecimento,4
eu amo todos os seus looks! combina 100% com o meu estilo! queria ter todas as peças para mim! pena que moro do outro lado do mundo.,pedido_sugestao,11
https://revistamarieclaire.globo.com/moda/noticia/2024/08/bia-paes-de-barros-usa-expertise-em-consultoria-de-moda-e-lanca-curadoria-de-pecas-em-site-de-garimpo.ghtml?fbclid=pazxh0bgnhzw0cmteaaabtooq7rft69-14p2vewwiwwndqxvdl2mr4hkmrlgelvmjri66dz7p8__4_aem_r0ojw7surovb9xnwndzvwq,outros,11
bom dia,saudacao,14
entrar em contato com a luciana nossa gerente comercial no email gerencia@elisaatheniense.com.br,outros,0
por nada!,outros,2
"olá, tudo bem e com vcs ? vi que vcs enviaram um e-mail para nós, vou responder vcs por lá, ok? um beijo e muito obrigada pelo contato <3",saudacao,0
oi,saudacao,2
a regata chiquetosa vai voltar pro estoque?,disponibilidade,2
reagiu com 🖤 à sua mensagem,outros,2
e a regata arrumadona?,outros,2
volta pro estoque?,disponibilidade,9
boa tarde!! fiz um pedido de uma blusa brilhei no dia 13/01. não recebi nenhum e-mail de confirmação. será que está tudo certo? meu nome é cristiane rocha loures brenner.,saudacao,12
ok! obrigada. vi que foi lançado no meu cartão de crédito.,preco_pagamento,12
"olá curadobia, tudo bem? agradecemos o interesse pela marca. para garantir que você receba a atenção e cuidado adequados, pedimos a gentileza de encaminhar mais informações como contatos, rede social e portfólio para mkt.conteudo@escuderoonline.com.br. nossa equipe de marketing é especializada nesse assunto. dessa forma, tenho certeza de que eles avaliarão e, se houver interesse, entrarão em contato prontamente. fique à vontade para entrar em contato caso tenha alguma dúvida. estamos aqui para ajudar.",saudacao,0
ei ana,outros,2
tudo bem?,outros,10
em março eu vou produzir reposição e cores novas de tudo,disponibilidade,9
agora estou organizando as coisas,outros,9
aí entro em contato vocês,outros,9
pode ser?,outros,10
oi!,saudacao,2
a regata arrumadona m,duvida_tamanho,2
olá!! obrigada. qual a previsão de entrega?,prazo_entrega,0
"como uma crítica construtiva, vcs deveriam mandar um e-mail para confirmar o pedido. compro bastante on-line e sempre vem o e-mail do status do pedido!! o cliente fica mais seguro da compra.",duvida_tamanho,0
sim,outros,10
vamos marcar ☺️,outros,1
eu não recebi a confirmação dessa compra,outros,12
"oi ana a marcia fonseca esta em contato com vc, ne? vamos conversar sim, a fernanda tem mto interesse",disponibilidade,9
sim,outros,10
pode,outros,2
ok!! entendi. obrigada pelo retorno. um abraço,agradecimento,5
"oiii boa tarde , me chamo talita e sou figurinista na emissora cnbc @cnbc licenciada pela @otimesbrasil , uma emissora nova que transmite jornalismo de negócios e é lider mundial no seu segmento. temos no nosso elenco grandes nomes do jornalismo incluido carol barcellos , rita wu, erica reis , christiane pelajo , zeca camargo, natalia ariade estou apenas dando um exemplo do time de peso que faz parte da emissora. as meninas são a cara da marca, elas postam , marcam o @, tem o manequim otimo e sao mega fotogênicas. podemos alinhar a produção , me ajudem rs vai ser uma parceria incrivel ! um beijo e aguardo retorno",disponibilidade,0
"olá, tudo bem? entre em contato com nosso comercial, 085987859507",saudacao,0
oie,saudacao,2
chama no mkt@gammba.com,outros,0
"bia, tudo bem? tenho uma festa bem legal e o traje é black and white. pensei na blusa pah, mas queria saber se o tecido fica vistoso e se você recomenda alguma calça mais festa para combinar. beijos julie",duvida_tamanho,3
boa noite ! haverá reposição da saia única preta no tamanho 1 ?,duvida_tamanho,3
ok obrigada,agradecimento,5
"oi time da curadobia tudo bem? sou joana, sigo o perfil e amo! tem uma calça que vi numa propaganda, que me apaixonei, mas não encontrei no site. queria saber de onde ela é, por favor. se puderem, vocês me contam? super obrigada! bj",disponibilidade,6
https://www.instagram.com/ac.gromann?igsh=mwe4dtziy2izetaxnw==,onde_comprar,7
oi boa tarde,saudacao,14
adquiri uma máxi pantalona valéria mansur,outros,6
p,duvida_tamanho,2
ficou enorme,duvida_tamanho,3
como proceder p troca?,troca_devolucao,10
"obrigada pelo retorno, as peças são incríveis! é que me apaixonei por essa calça, então foi ela que me prendeu o olhar! 😉☺️",agradecimento,6
até agora nada!,despedida,9
"eu sugiro q vcs verifiquem melhor as parcerias de fornecedores, pois não comprarei mais nesta curadoria! infelizmente, gosto mto do trabalho da bia… mas assim inviabiliza!",outros,0
"olá meninas, tudo bem? comprei a saia preta da d aura em outubro, precisei trocar (foram rapidíssimos), mas só hoje eu soube que não levaram a sacola com a peça a ser trocada (ficou este tempo todo na minha portaria). como faço?",troca_devolucao,6
linda gladiadora!,outros,11
sim!,outros,10
"na verdade foi o porteiro, rs!",outros,9
"tranquilo, obrigada!",agradecimento,5
reagiu com 👍 à sua mensagem,outros,8
já respondi! sim no wzap,outros,10
vocês irao vender oysho????,outros,12
é o pedido 502!,outros,13
olá tudo bem ana e vc? que bacana… vou passar o whatsapp da maiá pode falar com ela por gentileza! 11-983268095,onde_comprar,0
vou seguir.,outros,9
que honra 😍😍😍,outros,11
já comprei 3 peças da curadobia,outros,6
amando ♥️♥️♥️,outros,2
😍,outros,1
linda essa blusa,outros,3
não tem mais numeração 37,duvida_tamanho,13
boa noite.,saudacao,14
"estou com duvidas sobre o tamanho da saia unica, visto 42 , mas as medidas no quadro de tamanhos parecem grandes, mas existe a informação de que o tamanho 1 corresponde ao 36….",duvida_tamanho,3
bom dia … obrigada 🙏🏻,saudacao,14
poxa… que pena… quando tiverem me avise por favor,outros,9
ok,outros,4
obrigada,agradecimento,13
cadê? quero,outros,2
"bia, td bom? não estou conseguindo finalizar a compra da ""regata podrinha"". coloquei os dados do cartão e no campo cvv eu ponho os números mas o sistema ignora que eu coloquei. tentei várias vezes, acho que está com problema…",preco_pagamento,12
que lindoo😍,outros,11
👏,outros,4
"boa tarde, pessoal! tudo bem? estava namorando um macacão verde no site da marca d-aura, porém não localizei mais 😕. saiu de coleção? não terá reposição? aguardo. obrigada milene",disponibilidade,11
tudo bem também. que pena 😕 eu queria exatamente o verde! 😩,outros,4
vai ter reposição dessa calça?,disponibilidade,6
ola! muitíssimo obrigada 💋,saudacao,5
que calça maravilhosa,agradecimento,6
qual o preço?,preco_pagamento,12
"link da calça, por gentileza",outros,6
"olá, sou o gerente de vendas da pg game platform. quero falar com você sobre parcerias. nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de curaçao em outubro. você pode se juntar a nós e lhe daremos altas comissões. entre em contato comigo pelo whatsapp: +13434802605",onde_comprar,0
gostaria a camisa branca tamanho m. é possível?,duvida_tamanho,3
"ola pessoal ! tudo bem?! sou a lalá cunha (@laisfcunha) e vim contar um pouco sobre o @coracora_studio estamos em sp e fazemos fotografia, vídeos em formato reels, direção de arte e styling para marcas, de acordo com a sua necessidade. fazemos trabalhos exclusivos para as marcas e, em breve (final de março) também faremos o nosso próximo shooting collab, uma diária criada para incluir várias marcas que têm produtos a serem fotografados, necessitam de um material de qualidade, mas que não querem ter um alto valor de investimento nisso. o proximo collab será em uma locação linda e as modelos foram escolhidas à dedo, e acho que combina muito com a marca de voces. abaixo mando mais infos. vamos conversar sobre essas possibilidades? fico aqui a disposição abraços, lalá 11 972686892",preco_pagamento,0
"olá!! bom dia!! sou muito fã da bia, mas nunca comprei no curadoria. uma dúvida: como faço para escolher um tamanho com mais segurança? tem uma tabela de medidas para servir de referência? obrigada",duvida_tamanho,3
🔥,outros,2
que lindo tudo!,outros,11
