texto,label_true
"ola bia sou a daniela e gostaria de apresentar minha marca pra vc, a queens gate. minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs! a sua curadoria com seus ""neutros com tcharanz"" reforçou a vontade de apresentar o conceito da nossa marca pra vc. vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos. moro em londres e minha sócia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha 😉 obrigada ! +1(917)868-9790",disponibilidade
eu comprei a calça pantalona branca no dia 13/08,disponibilidade
eu amei a blusa branca tcharam 🥰,disponibilidade
"não gosto de nada apertado, mas essa blusa tem um shane mais ajustado. daí fiquei na dúvida.",disponibilidade
"amoooo suas rasteiras, não são da sua lj, mas poderia indicar aonde têm aquela custo benefício?",disponibilidade
"bom dia! gostaria de adquirir essa calça, mas não está mais disponível. podem me ajudar? obrigada",disponibilidade
"oiii! tudo bem? me chamo caroline sou formada em marketing e trabalho como social media tem um tempinho, estou a procura de uma nova oportunidade no mercado de trabalho. gostaria de saber se tem um espacinho no time de vocês, vou deixar o meu número, e-mail e portfólio. caso queria marcar uma call para falarmos mais estou por aqui. cel: (11) 94443-8896 e-mail: cspereiramkt@gmail.com portfólio: https://cspereira.my.canva.site/ obrigada desde já 💖",disponibilidade
"a jaqueta branca. uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade
"bom dia! sou a gianina marques, mineira, mãe e autora de joias artesanais. gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva. aguardo o retorno de vcs q tem tanto conhecimento na área. desde já obrigada! @gianinamarques",disponibilidade
eu amei a que tem a ponta. duvida. tem que ter tornozelo fino? obrigada,disponibilidade
vocês tem loja física?,disponibilidade
"bom dia tudo bem? então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . eu estou em uma fase de camisa, calça jeans bem moderna . e roupas mais discretas . mas é esses vestido como usar ?",disponibilidade
"oiee tudo bem? amei a bota, tem curadoria dela? bjos",disponibilidade
"oi pessoal! tudo bem? acredito que essa calça tenha esgotado, certo? vai ter reposição dela? aguardo retorno! obrigada, milene",disponibilidade
"olá! primeiramente quero dizer que a curadobia está fantástica! vi que vários produtos estão indisponíveis no site, como a blusa pah e phyna por exemplo tem alguma previsão de retorno ao estoque?",disponibilidade
a regata chiquetosa vai voltar pro estoque?,disponibilidade
volta pro estoque?,disponibilidade
em março eu vou produzir reposição e cores novas de tudo,disponibilidade
"oi ana a marcia fonseca esta em contato com vc, ne? vamos conversar sim, a fernanda tem mto interesse",disponibilidade
"oiii boa tarde , me chamo talita e sou figurinista na emissora cnbc @cnbc licenciada pela @otimesbrasil , uma emissora nova que transmite jornalismo de negócios e é lider mundial no seu segmento. temos no nosso elenco grandes nomes do jornalismo incluido carol barcellos , rita wu, erica reis , christiane pelajo , zeca camargo, natalia ariade estou apenas dando um exemplo do time de peso que faz parte da emissora. as meninas são a cara da marca, elas postam , marcam o @, tem o manequim otimo e sao mega fotogênicas. podemos alinhar a produção , me ajudem rs vai ser uma parceria incrivel ! um beijo e aguardo retorno",disponibilidade
"oi time da curadobia tudo bem? sou joana, sigo o perfil e amo! tem uma calça que vi numa propaganda, que me apaixonei, mas não encontrei no site. queria saber de onde ela é, por favor. se puderem, vocês me contam? super obrigada! bj",disponibilidade
"boa tarde, pessoal! tudo bem? estava namorando um macacão verde no site da marca d-aura, porém não localizei mais 😕. saiu de coleção? não terá reposição? aguardo. obrigada milene",disponibilidade
vai ter reposição dessa calça?,disponibilidade
bia! será que a tshirt angela motta branca com uma manga bafônica vai ter amanhã? preciso dela,disponibilidade
essa gladiadora!! qual o número? tem 37??,disponibilidade
e tem ela preta?,disponibilidade
oie!! essa calça vai ter reposição na curadoria?,disponibilidade
"Oi Time da Curadobia tudo bem? Sou Joana, sigo o perfil e amo! Tem uma calça que vi numa propaganda, que me apaixonei, mas não encontrei no site. Queria saber de onde ela é, por favor. Se puderem, vocês me contam? Super obrigada! Bj",disponibilidade
"Oiii boa tarde , Me chamo Talita e sou figurinista na emissora CNBC @cnbc licenciada pela @otimesbrasil , uma emissora nova que transmite jornalismo de negócios e é lider mundial no seu segmento. Temos no nosso elenco grandes nomes do jornalismo incluido Carol Barcellos , Rita Wu, Erica Reis , Christiane Pelajo , Zeca Camargo, Natalia Ariade estou apenas dando um exemplo do time de peso que faz parte da emissora. As meninas são a cara da marca, elas postam , marcam o @, tem o manequim otimo e sao mega fotogênicas. Podemos alinhar a produção , me ajudem rs vai ser uma parceria incrivel ! um beijo e aguardo retorno",disponibilidade
Eu comprei a calça pantalona branca no dia 13/08,disponibilidade
"Amoooo suas rasteiras, não são da sua Lj, mas poderia indicar aonde têm aquela custo benefício?",disponibilidade
"Oi Ana a Marcia Fonseca esta em contato com vc, ne? Vamos conversar sim, a Fernanda tem mto interesse",disponibilidade
Eu amei a blusa branca Tcharam 🥰,disponibilidade
"Bom dia tudo bem? Então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . Como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . Eu estou em uma fase de camisa, calça jeans bem moderna . E roupas mais discretas . Mas é esses vestido como usar ?",disponibilidade
"Oiee tudo bem? Amei a bota, tem curadoria dela? Bjos",disponibilidade
Bia! Será que a tshirt Angela Motta branca com uma manga bafônica vai ter amanhã? Preciso dela,disponibilidade
Eu amei a que tem a ponta. Duvida. Tem que ter tornozelo fino? Obrigada,disponibilidade
Volta pro estoque?,disponibilidade
A regata chiquetosa vai voltar pro estoque?,disponibilidade
"Bom dia! Gostaria de adquirir essa calça, mas não está mais disponível. Podem me ajudar? Obrigada",disponibilidade
Vai ter reposição dessa calça?,disponibilidade
"Boa tarde, pessoal! Tudo bem? Estava namorando um macacão verde no site da marca D-aura, porém não localizei mais 😕. Saiu de coleção? Não terá reposição? Aguardo. Obrigada Milene",disponibilidade
"Oi pessoal! Tudo bem? Acredito que essa calça tenha esgotado, certo? Vai ter reposição dela? Aguardo retorno! Obrigada, Milene",disponibilidade
"A jaqueta branca. Uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade
Em março eu vou produzir reposição e cores novas de tudo,disponibilidade
Vocês tem loja física?,disponibilidade
"Oiii! Tudo bem? Me chamo Caroline sou formada em Marketing e trabalho como Social Media tem um tempinho, estou a procura de uma nova oportunidade no mercado de trabalho. Gostaria de saber se tem um espacinho no time de vocês, vou deixar o meu número, e-mail e portfólio. Caso queria marcar uma call para falarmos mais estou por aqui. Cel: (11) 94443-8896 E-mail: cspereiramkt@gmail.com Portfólio: https://cspereira.my.canva.site/ Obrigada desde já 💖",disponibilidade
"Não gosto de nada apertado, mas essa blusa tem um Shane mais ajustado. Daí fiquei na dúvida.",disponibilidade
No e-mail da nota fiscal não tem nada,disponibilidade
Não tem um link de comunicação no WhatsApp,disponibilidade
"Ola Bia sou a Daniela e gostaria de apresentar minha marca pra vc, a Queens Gate. Minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs! A sua curadoria com seus ""neutros com tcharanz"" reforçou a vontade de apresentar o conceito da nossa marca pra vc. Vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos. Moro em Londres e minha sócia em SP e vou deixar meu WhatsApp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha 😉 Obrigada ! +1(917)868-9790",disponibilidade
E tem ela preta?,disponibilidade
Essa gladiadora!! Qual o número? Tem 37??,disponibilidade
"Bom dia! Sou a Gianina Marques, mineira, mãe e autora de joias artesanais. Gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva. Aguardo o retorno de vcs q tem tanto conhecimento na área. Desde já obrigada! @gianinamarques",disponibilidade
Oie!! Essa calça vai ter reposição na curadoria?,disponibilidade
"oi bia, tudo bem? adorei a @curadabia, (o nome ficou demais), e claro ja fui olhar as peças! não localizei tabela de medidas! porem, pelo tamanho das peças que vc veste o g provavelmente não vai caber em mim! uso 46/48, a depender da confecção! pense com carinho em fazer uma curadoria para tamanhos normais! desejo muito sucesso nessa nova empreitada! que deus te abençoe! bjos!",duvida_tamanho
a calça ficou sobrando muito atrás.,duvida_tamanho
gostaria de saber o tamanho da cintura dessa calça no tamanho m,duvida_tamanho
gosto da calça assim mais curta! visto entre 38-40 (quadril 95),duvida_tamanho
já tentei três vezes. será que pode ser o tamanho?,duvida_tamanho
gostaria de saber qual a altura e medidas da bia pra entender melhor o tamanho de referência.,duvida_tamanho
"muito obrigada, legal que sou do mesmo tamanho que ela!",duvida_tamanho
"bom dia. estou interessada na blusa pah, mas estou em dúvida quanto ao tamanho. minhas medidas: busto 92 cm e cintura 75 cm.",duvida_tamanho
m,duvida_tamanho
qual tamanho?,duvida_tamanho
"fui olhar para comprar o tamanho 1 dessa calça, porém a largura da cintura e do quadril eh a mesma - 98",duvida_tamanho
não tenho nada da paula ferber. a numeração é normal a forma?,duvida_tamanho
oii comprei a bico fino. o dedo fica um pouquinho de lado pra fora né? mas super confortável,duvida_tamanho
essa sandália calça certo ?calço 36 .será que preciso comprar 37 ?,duvida_tamanho
"por favor , me interessei por este macacão . quais tamanhos e como comprar ?",duvida_tamanho
teria as medidas do 42,duvida_tamanho
"pois sou , em algumas marcas , 44",duvida_tamanho
"e em outras , 42",duvida_tamanho
e quadril ?,duvida_tamanho
vou checar as minhas medidas e volto com vcs,duvida_tamanho
"olá, eu encontro as medidas no site?",duvida_tamanho
"bom dia gostei muito de uma calça mais gostaria de ter informações dos tamanhos , se te tabela de medidas , como faço para saber , poderiam me ajudar ? no aguardo grata adriana baggio",duvida_tamanho
"olá vcs tem uma tabela de medidas para essa calça , amei e gostaria de escolher o tamanho certo visto 40 e tenho 1.05 de quadril , então não tenho certeza do p ou m poderiam me ajudar ? no aguardo grata adriana baggio",duvida_tamanho
"as duas camisas, o body, a calça e o colar. eu visto p.",duvida_tamanho
"oi, pessoal. tudo bem? estou com dúvida sobre numeração de uma peça de vocês. aguardo retorno, obrigada! milene",duvida_tamanho
porém na dúvida do melhor tamanho,duvida_tamanho
eu costumo usar p ou pp se a confecção é grande,duvida_tamanho
36 ou 38,duvida_tamanho
a regata arrumadona m,duvida_tamanho
"como uma crítica construtiva, vcs deveriam mandar um e-mail para confirmar o pedido. compro bastante on-line e sempre vem o e-mail do status do pedido!! o cliente fica mais seguro da compra.",duvida_tamanho
"bia, tudo bem? tenho uma festa bem legal e o traje é black and white. pensei na blusa pah, mas queria saber se o tecido fica vistoso e se você recomenda alguma calça mais festa para combinar. beijos julie",duvida_tamanho
boa noite ! haverá reposição da saia única preta no tamanho 1 ?,duvida_tamanho
p,duvida_tamanho
ficou enorme,duvida_tamanho
não tem mais numeração 37,duvida_tamanho
"estou com duvidas sobre o tamanho da saia unica, visto 42 , mas as medidas no quadro de tamanhos parecem grandes, mas existe a informação de que o tamanho 1 corresponde ao 36….",duvida_tamanho
gostaria a camisa branca tamanho m. é possível?,duvida_tamanho
"olá!! bom dia!! sou muito fã da bia, mas nunca comprei no curadoria. uma dúvida: como faço para escolher um tamanho com mais segurança? tem uma tabela de medidas para servir de referência? obrigada",duvida_tamanho
"olá! bom dia! roupas lindas aqui! mas não encontrei muitas opções de tamanhos maiores. é isso mesmo? tenho uma cliente que se enquadraria perfeita nesse estilo mais contemporâneo, mas é um tamanho g, gg. 44/46. poderiam me sugerir algumas opções?",duvida_tamanho
nao sei se ficaria legal p quem esta um.pouco acima do peso,duvida_tamanho
"visto g, qual tamanho seria? quais cores tem? tem a calça tb?",duvida_tamanho
olá! como tirar dúvidas de tamanho da peça?,duvida_tamanho
Qual tamanho?,duvida_tamanho
Essa sandália calça certo ?Calço 36 .Será que preciso comprar 37 ?,duvida_tamanho
"Olá, eu encontro as medidas no site?",duvida_tamanho
Gostaria a camisa branca tamanho M. É possível?,duvida_tamanho
Gostaria de saber o tamanho da cintura dessa calça no tamanho M,duvida_tamanho
"Olá! Bom dia! Roupas lindas aqui! Mas não encontrei muitas opções de tamanhos maiores. É isso mesmo? Tenho uma cliente que se enquadraria perfeita nesse estilo mais contemporâneo, mas é um tamanho G, GG. 44/46. Poderiam me sugerir algumas opções?",duvida_tamanho
"Muito obrigada, legal que sou do mesmo tamanho que ela!",duvida_tamanho
Gostaria de saber qual a altura e medidas da Bia pra entender melhor o tamanho de referência.,duvida_tamanho
"Oi Bia, tudo bem? Adorei a @curadabia, (o nome ficou demais), e claro ja fui olhar as peças! Não localizei tabela de medidas! Porem, pelo tamanho das peças que vc veste o G provavelmente não vai caber em mim! Uso 46/48, a depender da confecção! Pense com carinho em fazer uma curadoria para tamanhos normais! Desejo muito sucesso nessa nova empreitada! Que Deus te abençoe! Bjos!",duvida_tamanho
Não tem mais numeração 37,duvida_tamanho
"Olá vcs tem uma tabela de medidas para essa calça , amei e gostaria de escolher o tamanho certo visto 40 e tenho 1.05 de quadril , então não tenho certeza do p ou m Poderiam me ajudar ? No aguardo Grata Adriana Baggio",duvida_tamanho
"Bom Dia Gostei muito de uma calça mais gostaria de ter informações dos tamanhos , se te tabela de medidas , Como faço para saber , poderiam me Ajudar ? No aguardo Grata Adriana Baggio",duvida_tamanho
Nao sei se ficaria legal p quem esta um.pouco acima do peso,duvida_tamanho
Oii comprei a bico fino. O dedo fica um pouquinho de lado pra fora né? Mas super confortável,duvida_tamanho
Não tenho nada da Paula Ferber. A numeração é normal a forma?,duvida_tamanho
"As duas camisas, o body, a calça e o colar. Eu visto P.",duvida_tamanho
A regata arrumadona M,duvida_tamanho
"Fui olhar para comprar o tamanho 1 dessa calça, porém a largura da cintura e do quadril eh a mesma - 98",duvida_tamanho
"Bia, Tudo bem? Tenho uma festa bem legal e o traje é black and white. Pensei na blusa Pah, mas queria saber se o tecido fica vistoso e se você recomenda alguma calça mais festa para combinar. Beijos Julie",duvida_tamanho
Gosto da calça assim mais curta! Visto entre 38-40 (quadril 95),duvida_tamanho
Ficou enorme,duvida_tamanho
P,duvida_tamanho
36 ou 38,duvida_tamanho
Eu costumo usar P ou PP se a confecção é grande,duvida_tamanho
Porém na dúvida do melhor tamanho,duvida_tamanho
"Oi, pessoal. Tudo bem? Estou com dúvida sobre numeração de uma peça de vocês. Aguardo retorno, obrigada! Milene",duvida_tamanho
"Visto G, qual tamanho seria? Quais cores tem? Tem a calça tb?",duvida_tamanho
A calça ficou sobrando muito atrás.,duvida_tamanho
M,duvida_tamanho
"Bom dia. Estou interessada na blusa PAH, mas estou em dúvida quanto ao tamanho. Minhas medidas: busto 92 cm e cintura 75 cm.",duvida_tamanho
"Como uma crítica construtiva, vcs deveriam mandar um e-mail para confirmar o pedido. Compro bastante on-line e sempre vem o e-mail do status do pedido!! O cliente fica mais seguro da compra.",duvida_tamanho
Boa noite ! Haverá reposição da saia única preta no tamanho 1 ?,duvida_tamanho
"Estou com duvidas sobre o tamanho da saia Unica, visto 42 , mas as medidas no quadro de tamanhos parecem grandes, mas existe a informação de que o tamanho 1 corresponde ao 36….",duvida_tamanho
Olá! Como tirar dúvidas de tamanho da peça?,duvida_tamanho
"Olá!! Bom dia!! Sou muito fã da Bia, mas nunca comprei no Curadoria. Uma dúvida: como faço para escolher um tamanho com mais segurança? Tem uma tabela de medidas para servir de referência? Obrigada",duvida_tamanho
Vou checar as minhas medidas e volto com Vcs,duvida_tamanho
E quadril ?,duvida_tamanho
"E em outras , 42",duvida_tamanho
"Pois sou , em algumas marcas , 44",duvida_tamanho
Teria as medidas do 42,duvida_tamanho
"Por favor , me interessei por este macacão . Quais tamanhos e como comprar ?",duvida_tamanho
Já tentei três vezes. Será que pode ser o tamanho?,duvida_tamanho
https://www.instagram.com/_nata.oficial?igsh=n204dxp5bzn6azbz,onde_comprar
https://www.instagram.com/queensgatestore?igsh=mjc0c2g5chnmn25k&utm_source=qr,onde_comprar
onde e a loja?,onde_comprar
"ola meninas seguem meus contatos: +1(917)868-9790 daniela.masson@hotmail.com muito bom falar com vcs ontem, obrigada ! falamos na sequência por whatsapp 🌷",onde_comprar
https://www.instagram.com/minimadeia/profilecard/,onde_comprar
https://www.instagram.com/_nata.oficial/profilecard/,onde_comprar
como comprar ?,onde_comprar
parabéns!!! excelente ideia!!! vim pelo insta da glória kalil 😍 - torcendo por mais um sucesso!,onde_comprar
https://www.instagram.com/tatho.brasil/profilecard/,onde_comprar
https://www.instagram.com/agola__/profilecard/,onde_comprar
https://www.instagram.com/wendyelborin/profilecard/,onde_comprar
https://www.instagram.com/usemyk/profilecard/,onde_comprar
alguém poderia entrar em contato comigo por e-mail ou whatsapp? o site de vcs parece que está com problemas. não funciona direito não.,onde_comprar
este é meu whatsapp…,onde_comprar
https://www.instagram.com/___lourie___/profilecard/,onde_comprar
https://www.instagram.com/durgashop/profilecard/,onde_comprar
https://www.instagram.com/voceamara/profilecard/,onde_comprar
https://www.instagram.com/giom.ei/profilecard/,onde_comprar
https://www.instagram.com/luiseramirezbrand/profilecard/,onde_comprar
https://www.instagram.com/numerodez.numerodez/profilecard/,onde_comprar
https://www.instagram.com/ac.gromann?igsh=mwe4dtziy2izetaxnw==,onde_comprar
olá tudo bem ana e vc? que bacana… vou passar o whatsapp da maiá pode falar com ela por gentileza! 11-983268095,onde_comprar
"olá, sou o gerente de vendas da pg game platform. quero falar com você sobre parcerias. nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de curaçao em outubro. você pode se juntar a nós e lhe daremos altas comissões. entre em contato comigo pelo whatsapp: +13434802605",onde_comprar
chico neto cd maré mar whatsapp 11965621065 http://palcomp3.com/chiconetodaparaiba/,onde_comprar
oi! tudo certinho por aí? 💚 somos a ēcru e trabalhamos com embalagens sustentáveis e personalizáveis feitas em algodão cru! nossos principais produtos são: 💚 necessaire 💚 saquinhos 💚 ecobags nos identificamos muito com a sua empresa e adoraríamos te apresentar nosso catálogo! posso te enviar mais informações pelo e-mail ou whatsapp? ah! também aceitamos propostas de orçamento ou cobrimos valores de outros fornecedores!,onde_comprar
Este é meu WhatsApp…,onde_comprar
Alguém poderia entrar em contato comigo por e-mail ou WhatsApp? O site de vcs parece que está com problemas. Não funciona direito não.,onde_comprar
Oi! Tudo certinho por aí? 💚 Somos a ĒCRU e trabalhamos com embalagens sustentáveis e personalizáveis feitas em algodão cru! Nossos principais produtos são: 💚 Necessaire 💚 Saquinhos 💚 Ecobags Nos identificamos muito com a sua empresa e adoraríamos te apresentar nosso catálogo! Posso te enviar mais informações pelo e-mail ou Whatsapp? Ah! Também aceitamos propostas de orçamento ou cobrimos valores de outros fornecedores!,onde_comprar
Olá tudo bem Ana e vc? Que bacana… Vou passar o WhatsApp da Maiá pode falar com ela por gentileza! 11-983268095,onde_comprar
https://www.instagram.com/ac.gromann?igsh=MWE4dTZiY2IzeTAxNw==,onde_comprar
https://www.instagram.com/numerodez.numerodez/profilecard/,onde_comprar
https://www.instagram.com/luiseramirezbrand/profilecard/,onde_comprar
https://www.instagram.com/wendyelborin/profilecard/,onde_comprar
https://www.instagram.com/giom.ei/profilecard/,onde_comprar
https://www.instagram.com/voceamara/profilecard/,onde_comprar
https://www.instagram.com/durgashop/profilecard/,onde_comprar
https://www.instagram.com/_nata.oficial/profilecard/,onde_comprar
https://www.instagram.com/___lourie___/profilecard/,onde_comprar
https://www.instagram.com/minimadeia/profilecard/,onde_comprar
https://www.instagram.com/usemyk/profilecard/,onde_comprar
https://www.instagram.com/agola__/profilecard/,onde_comprar
https://www.instagram.com/tatho.brasil/profilecard/,onde_comprar
https://www.instagram.com/_nata.oficial?igsh=N204dXp5bzN6azBz,onde_comprar
Onde e a loja?,onde_comprar
Chico Neto CD Maré Mar WhatsApp 11965621065 http://palcomp3.com/chiconetodaparaiba/,onde_comprar
"Olá, sou o gerente de vendas da PG Game Platform. Quero falar com você sobre parcerias. Nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de Curaçao em outubro. Você pode se juntar a nós e lhe daremos altas comissões. Entre em contato comigo pelo WhatsApp: +13434802605",onde_comprar
"Ola meninas seguem meus contatos: +1(917)868-9790 Daniela.masson@hotmail.com Muito bom falar com vcs ontem, obrigada ! Falamos na sequência por WhatsApp 🌷",onde_comprar
https://www.instagram.com/queensgatestore?igsh=Mjc0c2g5cHNmN25k&utm_source=qr,onde_comprar
Como comprar ?,onde_comprar
PARABÉNS!!! Excelente ideia!!! Vim pelo insta da Glória Kalil 😍 - Torcendo por mais um SUCESSO!,onde_comprar
reagiu com 👍 à sua mensagem,outros
preciso de uma ajudinha com o meu pedido,outros
Qual foi a mensagem?,outros
Maravilha 🙌🏼,outros
11,outros
reagiu com 👍 à sua mensagem,outros
funciona,outros
lindas !!,outros
🥰,outros
Sim,outros
então era pra ter pago menos a meu ver,outros
Reagiu com 👍 à sua mensagem,outros
😍,outros
"linda calça, qual é a marca?",outros
Era pra ter chegado ontem,outros
ah que bom!! é lindíssima!! parabéns.,outros
👏,outros
foi muito legal,outros
Não rsrs,outros
37?? Não creio,outros
❤️❤️,outros
que lindoo😍,outros
Qual o endereço???,outros
Mas super entendi e aproveito pra agradecer e elogiar seu trabalho,outros
aguardo ansiosa pelos seus pisantes na curadobia,outros
É fato! Perguntei pois está a procurando uma peça e não encontrava,outros
"De todo modo , agradeço por perguntar",outros
de onde é a sandália linda?,outros
