texto,intent
"precisei sair correndo por um problema com minha filha, que ja esta bem! mas nem consegui me despedir! obrigada queridas pelo convite!!!",agradecimento
eu comprei a calça pantalona branca no dia 13/08,disponibilidade
😍,outros
https://www.instagram.com/wendyelborin/profilecard/,onde_comprar
Bom dia! Consegue me mandar o vídeo?,saudacao
😍,outros
😮,outros
Ola! Estou tentando finalizar uma compra mas aparece o seguinte erro,outros
"os brincos argola frontal, não sei o nome da peça kkk",outros
"olá!! bom dia!! sou muito fã da bia, mas nunca comprei no curadoria. uma dúvida: como faço para escolher um tamanho com mais segurança? tem uma tabela de medidas para servir de referência? obrigada",duvida_tamanho
caraca muito!,outros
Ficou enorme,duvida_tamanho
A regata chiquetosa vai voltar pro estoque?,disponibilidade
"Não gosto de nada apertado, mas essa blusa tem um Shane mais ajustado. Daí fiquei na dúvida.",disponibilidade
muito obrigada pelo retorno!,agradecimento
"Olá, boa noite",saudacao
Mto obrigada msm,agradecimento
e o body me chega hoje,outros
Ah que bom!! É lindíssima!! Parabéns.,outros
👏,outros
😍,outros
😍,outros
"Certo, obrigada !!! O prazo de entrega são 19 dias mesmo ?",prazo_entrega
https://www.instagram.com/tatho.brasil/profilecard/,onde_comprar
olá!! como vai funcionar? onde vai ser? obrigada!!,saudacao
nao sei se ficaria legal p quem esta um.pouco acima do peso,duvida_tamanho
endereço,outros
bem e vc ana!! muito obrigada,agradecimento
obrigada,agradecimento
eba!,outros
"posso trocar, caso eu experimente e prefira uma maior?",troca_devolucao
Olá!!,saudacao
993811193,outros
obrigada! beijinhos,agradecimento
https://www.instagram.com/giom.ei/profilecard/,onde_comprar
você poderia me passar o contato dos responsáveis?!,outros
era pra ter chegado ontem,outros
"boa tarde. estava previsto pra chegar hoje minha encomenda, porém nada foi entregue",saudacao
😍,outros
oi,saudacao
Obrigada,agradecimento
Paguei Sedex porque estou indo hoje pra Londres e queria levar o body,outros
"a jaqueta branca. uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade
https://www.instagram.com/numerodez.numerodez/profilecard/,onde_comprar
olá tudo bem ana e vc? que bacana… vou passar o whatsapp da maiá pode falar com ela por gentileza! 11-983268095,onde_comprar
Mas a peça ainda não chegou,outros
Que honra 😍😍😍,outros
PARABÉNS!!! Excelente ideia!!! Vim pelo insta da Glória Kalil 😍 - Torcendo por mais um SUCESSO!,onde_comprar
"enfim , por muito pouco não me atende",outros
👏,outros
daniela.masson@hotmail.com,outros
Lindíssima,outros
"Olá meninas, tudo bem? Comprei a saia preta da d aura em outubro, precisei trocar (foram rapidíssimos), mas só hoje eu soube que não levaram a sacola com a peça a ser trocada (ficou este tempo todo na minha portaria). Como faço?",troca_devolucao
Olá,saudacao
Tem cupom de desconto primeira compra?,preco_pagamento
"olá meninas, tudo bem? comprei a saia preta da d aura em outubro, precisei trocar (foram rapidíssimos), mas só hoje eu soube que não levaram a sacola com a peça a ser trocada (ficou este tempo todo na minha portaria). como faço?",troca_devolucao
Sua roupa jeans é de onde?,outros
"Oi, Ana! Tudo e você? Beleza, obrigada!",saudacao
Que lindoo😍,outros
😍,outros
macacão precisa ser mais soltinho,outros
qual o preço?,preco_pagamento
Ola!,saudacao
obrigada,agradecimento
Eba!,outros
foi só hoje ou vai ficar mais tempo?,outros
"Olá, boa tarde",saudacao
e quadril ?,duvida_tamanho
ok,outros
👏,outros
Olá Algum cupom de desconto na primeira compra?,preco_pagamento
obrigada ;) enviarei!,agradecimento
😍,outros
👏,outros
"muito obrigada, elas entraram em contato comigo. realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento
certo. qual o link da compra?,outros
Já tô seguindo 👊🏻,outros
"ok, obrigada.",agradecimento
Quanto tá essa blusa?,outros
muito estilo,outros
Boa tarde!! Fiz um pedido de uma blusa Brilhei no dia 13/01. Não recebi nenhum e-mail de confirmação. Será que está tudo certo? Meu nome é Cristiane Rocha Loures Brenner.,saudacao
que roupa bonita,outros
https://revistamarieclaire.globo.com/moda/noticia/2024/08/bia-paes-de-barros-usa-expertise-em-consultoria-de-moda-e-lanca-curadoria-de-pecas-em-site-de-garimpo.ghtml?fbclid=pazxh0bgnhzw0cmteaaabtooq7rft69-14p2vewwiwwndqxvdl2mr4hkmrlgelvmjri66dz7p8__4_aem_r0ojw7surovb9xnwndzvwq,outros
Oiee,saudacao
Adquiri uma máxi pantalona Valéria mansur,outros
😍,outros
😍 body mybasic,outros
Já vi e amei!! Esperando a virada do cartao pra perder os juízo!,preco_pagamento
"Ok, obrigada.",agradecimento
Vc consegue rastrear o meu pedido?,prazo_entrega
oi! tudo certinho por aí? 💚 somos a ēcru e trabalhamos com embalagens sustentáveis e personalizáveis feitas em algodão cru! nossos principais produtos são: 💚 necessaire 💚 saquinhos 💚 ecobags nos identificamos muito com a sua empresa e adoraríamos te apresentar nosso catálogo! posso te enviar mais informações pelo e-mail ou whatsapp? ah! também aceitamos propostas de orçamento ou cobrimos valores de outros fornecedores!,onde_comprar
Foi só hoje ou vai ficar mais tempo?,outros
Bom dia. Gostei da calça. Vai ter no site? Obrigada,saudacao
😍,outros
Tudo bem também!!,outros
"Deu certo, sim. Obrigada",agradecimento
Gostaria de saber qual a altura e medidas da Bia pra entender melhor o tamanho de referência.,duvida_tamanho
"Oi, pessoal. Tudo bem? Estou com dúvida sobre numeração de uma peça de vocês. Aguardo retorno, obrigada! Milene",duvida_tamanho
Pode,outros
Aguardo ansiosa pelos seus pisantes na curadobia,outros
Vocês tem loja física?,disponibilidade
"na verdade foi o porteiro, rs!",outros
Obrigada,agradecimento
"oiii! tudo bem? me chamo caroline sou formada em marketing e trabalho como social media tem um tempinho, estou a procura de uma nova oportunidade no mercado de trabalho. gostaria de saber se tem um espacinho no time de vocês, vou deixar o meu número, e-mail e portfólio. caso queria marcar uma call para falarmos mais estou por aqui. cel: (11) 94443-8896 e-mail: cspereiramkt@gmail.com portfólio: https://cspereira.my.canva.site/ obrigada desde já 💖",disponibilidade
até agora nada!,despedida
Obrigada,agradecimento
Fechado 3pm brasil !,outros
😍 body MyBasic,outros
"Perfeito, Ana. Obrigada pelo retorno. 😊",agradecimento
stellathomazbastos@gmail.com,outros
Deu certo mas a peça que eu queria acabou…,outros
https://www.instagram.com/minimadeia/profilecard/,onde_comprar
aiiiin que pena,outros
E o body me chega HOJE,outros
Feliz demais q vc gostou ! ☺️☺️☺️ me fala como funciona melhor pra vc e marcamos um call,outros
perfeito,agradecimento
Essa tshirt vai estar no evento? Namoro tanto ela,outros
❤️❤️❤️❤️❤️,outros
Eu amo todos os seus looks! Combina 100% com o meu estilo! Queria ter todas as peças para mim! Pena que moro do outro lado do mundo.,pedido_sugestao
Oi boa tarde,saudacao
🖤🖤🖤,outros
vou olhar aqui meu anti virus.. pq ele bloqueia o curadobia... veja:,outros
boa tarde. gostaria de saber se vocês enviam para fora do brasil. obrigada.,saudacao
muito obrigada!,agradecimento
uhuu,outros
