text,label
tem cupom de desconto primeira compra,nao_entendi
pergunta tenho duvida no tamanho da blusa molona qual voce recomenda resposta tamanho e medidas,tamanho_modelagem
curtiu uma mensagem,nao_entendi
sem conteudo detectavel,nao_entendi
pes,nao_entendi
qual seu manequim,nao_entendi
voa,nao_entendi
diversos,nao_entendi
bia sent an attachment,nao_entendi
imagem enviada,nao_entendi
pergunta tenho <num> cm de busto qual bolsa anda sozinha comprar resposta tamanho e medidas,tamanho_modelagem
curtiu uma mensagem,nao_entendi
mas,nao_entendi
pergunta a camisa de responsa marca muito o corpo resposta modelagem e tecido,tamanho_modelagem
vira,nao_entendi
sensacao,nao_entendi
ola pamela td bem obrigada pela mensagem sentimos muito que esteja com esses problemas para conseguir efetuar as suas compras com a gente de fato o sistema passou por algumas instabilidades poderia nos dizer quais pecas se interessou para tentarmos solucionar por aqui,saudacao
gola,nao_entendi
sem conteudo detectavel,nao_entendi
curadobia,nao_entendi
sem conteudo detectavel,nao_entendi
oi danuza bom dia tudo bem pode nos informar por aqui a daovida ou se preferir uma comunicaa a o mais a gil pode nos chamar no nosso whatsapp,saudacao
ola tudo bem que bom receber sua mensagem meu nome e ana e sou do time curadobia com relacao a sua duvida conversei com a propria bia e ela nos informou que volumes tambem podem funcionar para quem esta um pouco acima desde que tenha um pouco de pele de fora para trazer leveza,saudacao
link compartilhado,como_comprar
d,nao_entendi
ola bom dia denize tudo bem estamos repondo o estoque da nossa calaa quentinha e por isso ela esta temporariamente indisponavel no nosso site assim que ela retornar te avisamos estamos a disposia a o para qualquer daovida obrigada por ter entrado em contato conosco d,saudacao
curtiu uma mensagem,nao_entendi
<url>,nao_entendi
d,nao_entendi
link compartilhado,como_comprar
<num> <num> <num> <num>,nao_entendi
boa tarde comprei a blusa pah mas nao consigo deixa la parecida como da foto acho que estou usando de forma errada tem alguma tutorial de como vesti la rs,saudacao
voce,nao_entendi
imagem enviada,nao_entendi
d,nao_entendi
bia sent an attachment,nao_entendi
obrigada,agradecimento
oi lucia bom dia tudo bem aqui e a ana do time curadobia voce conseguiu dar uma olhada em tudo que te mandamos se tiver alguma duvida sigo aqui,saudacao
you sent an attachment,nao_entendi
estilo,nao_entendi
altura seria <num> <num> cintura <num> quadril <num>,nao_entendi
de,nao_entendi
curtiu uma mensagem,nao_entendi
<url>,nao_entendi
bia sent an attachment,nao_entendi
sem conteudo detectavel,nao_entendi
bia sent an attachment,nao_entendi
com,nao_entendi
sem conteudo detectavel,nao_entendi
ola alessandra boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nas sandalias da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar alessandra qualquer duvida estamos a disposicao equipe curadobia,saudacao
que bom receber mensagem tua,nao_entendi
casual,nao_entendi
conseguir,nao_entendi
imagem enviada,nao_entendi
o,nao_entendi
ola bom dia,saudacao
no,nao_entendi
e,nao_entendi
curtiu uma mensagem,nao_entendi
jogadao,nao_entendi
ola pode comprar o numero certinho mesmo,saudacao
saia,nao_entendi
<num>,nao_entendi
de,nao_entendi
estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas sanda lias da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd o link clica vel segue na pra <num> xima mensagem obrigada por nos acompanhar katia qualquer daovida estamos a disposia a o equipe curadobia d,agradecimento
sem conteudo detectavel,nao_entendi
curtiu uma mensagem,nao_entendi
de,nao_entendi
ola bom dia infelizmente essa calca tambem saiu do nosso mix estamos com novos produtos e novas marcas entrando no curadobia esperamos que goste qualquer coisa sigo aqui,saudacao
como uma critica construtiva vcs deveriam mandar um e mail para confirmar o pedido compro bastante on line e sempre vem o e mail do status do pedido o cliente fica mais seguro da compra,como_comprar
sem conteudo detectavel,nao_entendi
link compartilhado,como_comprar
ola milene bom dia como vai claro estamos aqui para ajudar qual a sua daovida,saudacao
mas,nao_entendi
blazer,nao_entendi
sem conteudo detectavel,nao_entendi
bia sent an attachment,nao_entendi
sem conteudo detectavel,nao_entendi
ola dany boa tarde tudo bem sim e com vocaa pea o desculpas por essa demora estou verificando sobre porque ainda na o foi dada sequaancia na troca o processo interno nosso ja foi encaminhado com a troca para o tamanho p,saudacao
cima,nao_entendi
que,nao_entendi
curtiu uma mensagem,nao_entendi
bia sent an attachment,nao_entendi
campo,nao_entendi
mto obrigada msm,agradecimento
obrigada por ser nossa cliente,agradecimento
comprar,como_comprar
qualquer coisa sigo aqui,nao_entendi
camisa,nao_entendi
pergunta consigo devolver a bolsa anda sozinha se nao servir resposta frete prazos e trocas,frete_prazo
pode ser <num> tambem,nao_entendi
pergunta o tecido da blusa molona esquenta resposta modelagem e tecido,tamanho_modelagem
para,nao_entendi
pode,nao_entendi
maria shared a product,nao_entendi
obrigada,agradecimento
sem conteudo detectavel,nao_entendi
pergunta da pra trocar a trench facil por outro tamanho resposta frete prazos e trocas,frete_prazo
claro,nao_entendi
o que acha dessas opcoes,nao_entendi
ola curadobia tudo bem agradecemos o interesse pela marca para garantir que vocaa receba a atena a o e cuidado adequados pedimos a gentileza de encaminhar mais informaa aues como contatos rede social e portfa <num> lio para mkt conteudo <user> com br nossa equipe de marketing a c especializada nesse assunto dessa forma tenho certeza de que eles avaliara o e se houver interesse entrara o em contato prontamente fique a vontade para entrar em contato caso tenha alguma daovida estamos aqui para ajudar,saudacao
bia sent an attachment,nao_entendi
link compartilhado,como_comprar
com,nao_entendi
mas pode ficar tranquila que assim que lana armos a terceira pea a que vocaa gostou vou te mandar por aqui tudo bem na o deixe de garantir suas pea as da lounge a tempod,nao_entendi
obrigada eu aviso sim gostei bastante vou levar para a cliente,agradecimento
d,nao_entendi
saias,nao_entendi
sobre a questa o do frete a c possavel unificar ele nas blusas da lounge que vocaa gostouaoi vou te mandar o link das duas,frete_prazo
como falo com algua c m daa,nao_entendi
trico,nao_entendi
ola rosangela boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas rasteiras da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd segue o link <url> obrigada por nos acompanhar rosangela qualquer daovida estamos a disposia a o equipe curadobia d,saudacao
<url>,nao_entendi
<url>,nao_entendi
oi tatiane tudo bem obrigada pela sua mensagem vamos nos planejar para outros momentos offline com certeza d postaremos por aqui,saudacao
o,nao_entendi
ola bia te vi no post da teti gio amei o seu perfil eu tenho uma marca de joias autorais com design minimalista e ouro sustentavel adoraria te apresentar <user> tambem gostaria de conversar sobre divulgacao se houver interesse claro muito obrigada um abraco evelyn,saudacao
e quadril,nao_entendi
amando heartsheartshearts,nao_entendi
a,nao_entendi
sem conteudo detectavel,nao_entendi
amamos,nao_entendi
estamos aqui para o que precisar,nao_entendi
vamos super a,nao_entendi
pergunta tem rastreio pra saia acinturante resposta frete prazos e trocas,frete_prazo
e esses sapatos incraveis teremos a chance de taa los rs,nao_entendi
boa tarde gostaria de saber se vocaas enviam para fora do brasil obrigada,saudacao
salaio sent an attachment,nao_entendi
mas super entendi e aproveito pra agradecer e elogiar seu trabalho,nao_entendi
bia sent an attachment,nao_entendi
pq,nao_entendi
<url>,nao_entendi
com,nao_entendi
fica,nao_entendi
oi patricia bom dia caraca que legal receber essa mensagem suad ficamos muito felizes com isso nos avise quando estiver por aqui que fazemos uma entrega especiald deg,saudacao
manga,nao_entendi
curtiu uma mensagem,nao_entendi
ola alice bom dia tudo bem aqui somos da parte de atendimento do curadobia vou te pedir para encaminhar um e mail para contato curadobia <user> com,saudacao
queria,nao_entendi
ola gloria na o temos apenas vendas on line no site www curadobia com br,saudacao
bia sent an attachment,nao_entendi
sem conteudo detectavel,nao_entendi
rastreamento,nao_entendi
<num>,nao_entendi
como estaria sua agenda para segunda a tarde,nao_entendi
<num>,nao_entendi
saia,nao_entendi
obrigada pelo interesse aguardamos voces,agradecimento
sem conteudo detectavel,nao_entendi
ola bom dia me chamo anelisa e gostaria de confirmar se meu pedido foi realizado nao sei se esse e o canal mais adequado para essa solicitacao mas como nao achei no site um campo para falar com voces decidi vir aqui fiz essa compra ontem pelo site e logo depois de finalizar apareceu uma mensagem dizendo que o pagamento nao estava confirmado no entanto no site diz que o pagamento foi efetuado e nao recebi nenhuma mensagem do banco dizendo que o pagamento foi negado alem disso tambem nao recebi um e mail com os dados do pedido muito obrigada desde ja,saudacao
evelyn obrigada pelo interesse para parcerias com o curadobia peco que envie apresentacoes para o nosso email contato curadobia <user> com e seguimos com as tratativas por la que fica mais facil e para interesses de parcerias diretamente com a bia e preciso entrar em contato diretamente com ela pelo email biapaesdebarros <user> com,agradecimento
mesmo,nao_entendi
mto obrigada,agradecimento
<url>,nao_entendi
agora parece que travou mesmo,nao_entendi
pois sou em algumas marcas <num>,nao_entendi
d deg,nao_entendi
ola bom dia denize tudo bem estamos repondo o estoque da nossa calca quentinha e por isso ela esta temporariamente indisponivel no nosso site assim que ela retornar te avisamos estamos a disposicao para qualquer duvida obrigada por ter entrado em contato conosco,saudacao
choker,nao_entendi
<url>,nao_entendi
sem conteudo detectavel,nao_entendi
ola thais tudo bem deu tudo certo com a chegada das pecas faltantes qualquer coisa sigo aqui para te ajudar viu,saudacao
um,nao_entendi
fechado,nao_entendi
ola tudo bem teria um contato do responsavel da marca ou comercial para falarmos obrigada carol,saudacao
de,nao_entendi
reagiu com dd a sua mensagem,nao_entendi
nao,nao_entendi
curtiu uma mensagem,nao_entendi
gostaria de saber o tamanho da cintura dessa cala a no tamanho m,tamanho_modelagem
saia,nao_entendi
na,nao_entendi
na o rsrs,nao_entendi
sem conteudo detectavel,nao_entendi
ebaaaaa,nao_entendi
muito obrigada,agradecimento
sem conteudo detectavel,nao_entendi
imagem enviada,nao_entendi
clientes,nao_entendi
sem conteudo detectavel,nao_entendi
oi suzane infelizmente na o estamos com previsa o de reposia a o do tamanho <num> da nossa gladiadorad o,saudacao
marilene sent an attachment,nao_entendi
e,nao_entendi
bia sent an attachment,nao_entendi
sem conteudo detectavel,nao_entendi
d,nao_entendi
link compartilhado,como_comprar
cor,nao_entendi
curtiu uma mensagem,nao_entendi
e,nao_entendi
pergunta a saia acinturante combina com jeans resposta combinacoes e ocasioes,nao_entendi
link compartilhado,como_comprar
o site esta passando por problemas,erros_plataforma
maria shared a product,nao_entendi
jeitinho,nao_entendi
chama no mkt <user> com,nao_entendi
oie,nao_entendi
oi tudo bem esta com algum problema no site para pagar com carta o de cra c dito o ca <num> digo cvv some,saudacao
obrigada pela presena a stella,agradecimento
cor,nao_entendi
quanto ta essa blusa,nao_entendi
you sent an attachment,nao_entendi
a,nao_entendi
bracelete,nao_entendi
sem conteudo detectavel,nao_entendi
oie bom dia tudo bem obrigada pela sua mensagem entramos em contato com a marca d aura que produz a saia e eles nos informaram que em <num> dias ira o receber novos estoques da nossa saia anica,saudacao
uma,nao_entendi
ola pessoal como va o meu nome a c ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia a c um marketplace que nasceu com o propa <num> sito de reunir em um sa <num> lugar pea as que fazem toda a diferena a no arma rio e ao mesmo tempo sa o fa ceis de usar os chamados neutros com tcharanz acreditamos que a fernanda yamamoto super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo vocaas,saudacao
entao,nao_entendi
imagina estamos por aqui qualquer coisa que precisar,nao_entendi
ola isabela somos um marketplace sem loja fisica,saudacao
gostei da corrente dourada tamba c m,nao_entendi
pergunta a bolsa anda sozinha precisa passar resposta modelagem e tecido,tamanho_modelagem
sem conteudo detectavel,nao_entendi
ola luana bom dia tudo bem hoje ainda na o temos sapatos dentro do curadobia estamos olhando para adicionar essa categoria em breve,saudacao
bia sent an attachment,nao_entendi
link compartilhado,como_comprar
tudo,nao_entendi
sem conteudo detectavel,nao_entendi
sem conteudo detectavel,nao_entendi
ola como tirar daovidas de tamanho da pea a,saudacao
evelyn obrigada pelo interesse para parcerias com o curadobia pea o que envie apresentaa aues para o nosso email contato curadobia <user> com e seguimos com as tratativas por la que fica mais fa cil d e para interesses de parcerias diretamente com a bia a c preciso entrar em contato diretamente com ela pelo email biapaesdebarros <user> com,agradecimento
pergunta da pra parcelar a saia tech sem juros resposta preco estoque e pagamento,formas_pagamento
oi maria angela bom dia como vocaa esta,saudacao
e eu como estou na praia torcendo para na o baixar d d d,nao_entendi
link compartilhado,como_comprar
no,nao_entendi
nas,nao_entendi
enviado,nao_entendi
vibe,nao_entendi
pergunta a regata pregas jersey precisa passar resposta modelagem e tecido,tamanho_modelagem
bia sent an attachment,nao_entendi
senha,nao_entendi
no,nao_entendi
num,nao_entendi
grifin,nao_entendi
marta sent an attachment,nao_entendi
oi karyna tudo bem estamos passando algumas instabilidades com o site mas acredito que logo mais isso vai se resolver voce precisa de suporte com algo estamos aqui para o que precisar,saudacao
sem conteudo detectavel,nao_entendi
casaco,nao_entendi
curtiu uma mensagem,nao_entendi
roupa,nao_entendi
<num>,nao_entendi
faz,nao_entendi
um,nao_entendi
vcs,nao_entendi
<url>,nao_entendi
<url>,nao_entendi
ola susanna bom dia estaremos te esperando na rua venceslau flexa <num> jardim paulistano das <num> h a s <num> h ah e teremos manobrista no local para maior tranquilidade,saudacao
ola bom dia,saudacao
pergunta a saia acinturante combina com jeans resposta combinacoes e ocasioes,nao_entendi
sem conteudo detectavel,nao_entendi
sem conteudo detectavel,nao_entendi
sem conteudo detectavel,nao_entendi
para,nao_entendi
com certeza nao exatamente por isso que pensamos nesse material que se molda nos pes d,nao_entendi
todas as pecas da mybasic e da lounge <num> possuem uma ampla grade <url> <url> os produtos da cecilia possuem uma modelagem mais ampla <url> alguns dos produtos da nauanin chegam ate a numeracao xxgg equivalendo a um <num> <url>,tamanho_modelagem
vc consegue rastrear o meu pedido,nao_entendi
tenho interesse nessa jaqueta,nao_entendi
aiiiin que pena,nao_entendi
linda gladiadora,nao_entendi
andrea sent an attachment,nao_entendi
obrigada pelo convite adorei a minha sandalia nova a i,agradecimento
sem conteudo detectavel,nao_entendi
muito estilo,nao_entendi
alfaiataria,nao_entendi
ola vanilda segue os detalhes aqui,saudacao
sem conteudo detectavel,nao_entendi
pergunta a saia tech tem frete gratis resposta frete prazos e trocas,frete_prazo
amarracao,nao_entendi
<url>,nao_entendi
acessorio,nao_entendi
qualquer coisa sigo aqui,nao_entendi
qualquer coisa sigo aquid,nao_entendi
mas acho que esta processando para subir tudo,nao_entendi
o,nao_entendi
sem,nao_entendi
<num> <num>,nao_entendi
ola td e vc,saudacao
que,nao_entendi
mas,nao_entendi
sem conteudo detectavel,nao_entendi
pergunta a calca cool fica justa no quadril resposta tamanho e medidas,tamanho_modelagem
no,nao_entendi
se,nao_entendi
e o body me chega hoje,nao_entendi
link compartilhado,como_comprar
ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a fernanda yamamoto super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces,saudacao
sempre,nao_entendi
sem conteudo detectavel,nao_entendi
infelizmente nao atuo mais nessa area de consultoria pessoal,nao_entendi
bia sent an attachment,nao_entendi
certo,nao_entendi
bom dia,saudacao
faz,nao_entendi
deste,nao_entendi
oi pessoal tudo bem estou com daovida sobre numeraa a o de uma pea a de vocaas aguardo retorno obrigada milene,saudacao
a modelagem a c grande pode ser tam <num>,tamanho_modelagem
esse mesmo que te mandei acima,nao_entendi
ainda nao super correria,nao_entendi
sem conteudo detectavel,nao_entendi
obrigada,agradecimento
paula sent an attachment,nao_entendi
poderosao,nao_entendi
que,nao_entendi
teletransporta,nao_entendi
roles,nao_entendi
publicidade,nao_entendi
enderea o,nao_entendi
ola alice bom dia tudo bem aqui somos da parte de atendimento do curadobia vou te pedir para encaminhar um e mail para contato curadobia <user> com,saudacao
ola juliana boa tarde tudo bem,saudacao
oi roberta bom dia tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nos sapatos da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia o link clicavel segue na proxima mensagem obrigada por nos acompanhar roberta qualquer duvida estamos a disposicao equipe curadobia,saudacao
link compartilhado,como_comprar
curtiu uma mensagem,nao_entendi
olha que legal essa ideia,nao_entendi
estaremos atualizando no site para conter essa tabela que realmente estava faltando,erros_plataforma
sem conteudo detectavel,nao_entendi
curtiu uma mensagem,nao_entendi
link compartilhado,como_comprar
viajante,nao_entendi
era pra ter chegado ontem,nao_entendi
esperado,nao_entendi
bia sent an attachment,nao_entendi
<url>,nao_entendi
porque,nao_entendi
bia sent an attachment,nao_entendi
valor <num>,nao_entendi
<url>,nao_entendi
mybasic sent an attachment,nao_entendi
tecido,nao_entendi
mais,nao_entendi
essa conta na o pode receber sua mensagem porque na o aceita novas solicitaa aues de contato de todos,nao_entendi
<num>,nao_entendi
oii bia tudo bem por favor de onde a c essa cala a yes i am procurei aqui no feed e na o encontreia obrigada,agradecimento
oi mari bom dia tudo bem infelizmente essa cala a na o teremos mais reposia a o no curadobia mas estamos com diversas novidades no site qualquer coisa sigo aqui para o que vocaa precisar,saudacao
bia sent an attachment,nao_entendi
olivve sent an attachment,nao_entendi
brenda sent an attachment,nao_entendi
dress,nao_entendi
esse,nao_entendi
ela,nao_entendi
a nossa calaa diferentex esta saindo por r <num> <num>,nao_entendi
na o perca essa oportunidade qualquer coisa sigo aqui para o que vocaa precisar d,nao_entendi
estranho,nao_entendi
imagem enviada,nao_entendi
jantarzinho,nao_entendi
ahhhh que pena que nao nos falamos,nao_entendi
de,nao_entendi
bia sent an attachment,nao_entendi
stella depois peco apenas que compartilhe seu numero de telefone que ai fica mais facil nossa comunicacao,nao_entendi
sem conteudo detectavel,nao_entendi
sou,nao_entendi
sem conteudo detectavel,nao_entendi
ola como vao muito prazer meu nome e ana e trabalho aqui no curadobia nao sei se recordam porem conversamos no primeiro semestre do ano passado <num> sobre esse projeto da bia paes de barros desde la evoluimos bastante e estamos concretizados como um marketplace em potencial crescimento queremos compartilhar com voces nosso site para darem uma olhada curadobia com br ainda temos a jorg em foco o que acham de retomarmos contato aguardo voces,saudacao
d,nao_entendi
bom dia,saudacao
pergunta a camisa de responsa marca muito o corpo resposta modelagem e tecido,tamanho_modelagem
que lindo tudo,nao_entendi
quadril,nao_entendi
link compartilhado,como_comprar
curtiu uma mensagem,nao_entendi
sem conteudo detectavel,nao_entendi
pergunta a calca cool amassa facil resposta modelagem e tecido,tamanho_modelagem
bia sent an attachment,nao_entendi
bia sent an attachment,nao_entendi
link compartilhado,como_comprar
bia sent an attachment,nao_entendi
sem,nao_entendi
com relacao a calca nos temos essas duas opcoes que penso que vc pode gostar,nao_entendi
bom dia julienne o que achou da nossa selea a o edited,saudacao
sozinha,nao_entendi
bia sent an attachment,nao_entendi
ola tentei fazer uma compra e apos entrar com os dados do cartao e senha vem a seguinte tela,saudacao
oi,saudacao
stella sent an attachment,nao_entendi
do,nao_entendi
ola obrigada,saudacao
com certeza sera um sucesso obrigada ana,agradecimento
oi boa tarde,saudacao
daniela masson <user> com,nao_entendi
lindas,nao_entendi
sem conteudo detectavel,nao_entendi
oi bia sou erika dos <user> gostaria de saber como vocaa trabalha em relaa a o a promoa a o de produtos meus brincos sa o autorais e os fabrico a <num> anos a produa a o a c <num> nacional fabricamos desde a liga do metal ata c o banho de ouro <num> k nossos brincos sa o todos bordados a ma o com um finassimo arame de cobre e depois banhado a ouro espero seu contato obrigada,saudacao
cadaa quero,nao_entendi
link compartilhado,como_comprar
bia sent an attachment,nao_entendi
bia sent an attachment,nao_entendi
que,nao_entendi
a regata chiquetosa vai voltar pro estoque,nao_entendi
bia sent an attachment,nao_entendi
obrigada a i,agradecimento
mybasic sent an attachment,nao_entendi
certo,nao_entendi
sem conteudo detectavel,nao_entendi
link compartilhado,como_comprar
maio,nao_entendi
de,nao_entendi
cecilia sent an attachment,nao_entendi
pergunta aceitam pix pra trench facil resposta preco estoque e pagamento,formas_pagamento
